,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
0,UTA,2021,1.1468888888888888,1.0716666666666668,0.030000000000000027,0.040000000000000036
1,ATL,2021,1.134,1.1116483516483517,0.020000000000000018,0.04999999999999982
2,PHX,2021,1.1166292134831461,1.0355555555555556,0.039999999999999813,0.040000000000000036
3,MIL,2021,1.121111111111111,1.094,0.039999999999999813,0.010000000000000009
4,MEM,2021,1.1148275862068966,1.058888888888889,0.039999999999999813,0.06000000000000005
5,DEN,2021,1.1123333333333334,1.0833333333333335,0.029999999999999805,0.050000000000000044
6,MIN,2021,1.1152808988764045,1.082,0.029999999999999805,0.06000000000000005
7,CHA,2021,1.1017977528089888,1.1023333333333336,0.039999999999999813,0.039999999999999813
8,BOS,2021,1.1068888888888888,1.04,0.039999999999999813,0.040000000000000036
9,BKN,2021,1.1119999999999999,1.0916666666666668,0.04999999999999982,0.040000000000000036
10,PHI,2021,1.1105555555555555,1.076,0.030000000000000027,0.06000000000000005
11,MIA,2021,1.1087777777777779,1.0616666666666668,0.040000000000000036,0.030000000000000027
12,DAL,2021,1.1046666666666667,1.0670000000000002,0.040000000000000036,0.050000000000000044
13,CHI,2021,1.081868131868132,1.1076923076923078,0.050000000000000044,0.04999999999999982
14,GSW,2021,1.0898876404494382,1.0378651685393259,0.06000000000000005,0.030000000000000027
15,TOR,2021,1.0875280898876405,1.0784615384615386,0.050000000000000044,0.040000000000000036
16,IND,2021,1.106923076923077,1.1357303370786518,0.030000000000000027,0.029999999999999805
17,SAS,2021,1.0999999999999999,1.0921978021978023,0.030000000000000027,0.030000000000000027
18,CLE,2021,1.0882222222222222,1.0578651685393259,0.030000000000000027,0.030000000000000027
19,NOP,2021,1.0823595505617978,1.1,0.06000000000000005,0.020000000000000018
20,WAS,2021,1.074065934065934,1.11,0.030000000000000027,0.039999999999999813
21,LAL,2021,1.076,1.1021348314606743,0.040000000000000036,0.030000000000000027
22,NYK,2021,1.0611111111111111,1.0764444444444445,0.050000000000000044,0.040000000000000036
23,SAC,2021,1.0692307692307692,1.124111111111111,0.040000000000000036,0.019999999999999796
24,LAC,2021,1.084111111111111,1.0723333333333334,0.010000000000000009,0.030000000000000027
25,HOU,2021,1.0526666666666666,1.1263636363636365,0.050000000000000044,0.04999999999999982
26,POR,2021,1.0455555555555556,1.1437777777777778,0.040000000000000036,0.04999999999999982
27,DET,2021,1.0264444444444445,1.1095555555555556,0.050000000000000044,0.04999999999999982
28,ORL,2021,1.0184615384615385,1.089,0.040000000000000036,0.06000000000000005
29,OKC,2021,1.0164444444444445,1.0962921348314607,0.030000000000000027,0.040000000000000036
