,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
0,HOU,2017,1.1215730337078653,1.028314606741573,0.05999999999999983,0.050000000000000044
1,TOR,2017,1.1102247191011236,1.033888888888889,0.039999999999999813,0.020000000000000018
2,GSW,2017,1.1082222222222222,1.0374157303370786,0.029999999999999805,0.040000000000000036
3,MIN,2017,1.0954545454545455,1.0830769230769233,0.040000000000000036,0.040000000000000036
4,CLE,2017,1.096,1.0879999999999999,0.020000000000000018,0.050000000000000044
5,DEN,2017,1.0840449438202249,1.0676404494382024,0.030000000000000027,0.040000000000000036
6,OKC,2017,1.0719318181818183,1.046,0.040000000000000036,0.030000000000000027
7,LAC,2017,1.078,1.0653932584269663,0.020000000000000018,0.06000000000000005
8,CHA,2017,1.0681318681318681,1.0684615384615386,0.030000000000000027,0.050000000000000044
9,MIL,2017,1.0647727272727272,1.0694444444444446,0.06000000000000005,0.040000000000000036
10,NOP,2017,1.0641111111111112,1.0514606741573034,0.020000000000000018,0.050000000000000044
11,IND,2017,1.0619318181818183,1.0576923076923077,0.030000000000000027,0.040000000000000036
12,WAS,2017,1.054,1.053932584269663,0.050000000000000044,0.030000000000000027
13,PHI,2017,1.0642696629213484,1.026741573033708,0.020000000000000018,0.040000000000000036
14,POR,2017,1.0595555555555556,1.0421978021978022,0.050000000000000044,0.020000000000000018
15,SAS,2017,1.0507865168539325,1.0176666666666667,0.040000000000000036,0.010000000000000009
16,UTA,2017,1.0536363636363637,1.006179775280899,0.050000000000000044,0.040000000000000036
17,DET,2017,1.0483146067415732,1.048,0.040000000000000036,0.050000000000000044
18,BOS,2017,1.0542222222222224,1.0141111111111112,0.010000000000000009,0.020000000000000018
19,NYK,2017,1.04,1.0735955056179776,0.06000000000000005,0.040000000000000036
20,BKN,2017,1.0541304347826088,1.0853333333333335,0.030000000000000027,0.030000000000000027
21,LAL,2017,1.0282222222222224,1.046,0.040000000000000036,0.040000000000000036
22,MIA,2017,1.0405555555555557,1.0405555555555557,0.040000000000000036,0.030000000000000027
23,DAL,2017,1.042,1.0666666666666667,0.020000000000000018,0.040000000000000036
24,ORL,2017,1.0253932584269663,1.0742222222222224,0.050000000000000044,0.020000000000000018
25,ATL,2017,1.02,1.0749438202247192,0.020000000000000018,0.050000000000000044
26,MEM,2017,1.0116666666666667,1.075909090909091,0.030000000000000027,0.020000000000000018
27,CHI,2017,1.0223333333333333,1.0773333333333335,0.020000000000000018,0.040000000000000036
28,SAC,2017,1.0057303370786517,1.0842696629213484,0.040000000000000036,0.020000000000000018
29,PHX,2017,1.0037362637362637,1.0924719101123597,0.050000000000000044,0.040000000000000036
