,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
0,GSW,2015,1.12,1.0020224719101123,0.009999999999999787,0.06000000000000005
1,OKC,2015,1.092666666666667,1.0243820224719102,0.040000000000000036,0.030000000000000027
2,CLE,2015,1.0650549450549451,1.02,0.050000000000000044,0.030000000000000027
3,SAS,2015,1.0729545454545455,0.9616666666666666,0.030000000000000027,0.030000000000000027
4,TOR,2015,1.0556179775280898,1.0172222222222222,0.06000000000000005,0.050000000000000044
5,POR,2015,1.0562637362637364,1.0483146067415732,0.030000000000000027,0.040000000000000036
6,LAC,2015,1.0422727272727272,0.9967032967032967,0.040000000000000036,0.040000000000000036
7,HOU,2015,1.0474418604651161,1.0327272727272727,0.07000000000000006,0.07000000000000006
8,CHA,2015,1.0313483146067417,1.0142857142857142,0.050000000000000044,0.020000000000000018
9,BOS,2015,1.0321348314606742,1.0005555555555554,0.030000000000000027,0.040000000000000036
10,DAL,2015,1.0362637362637364,1.026888888888889,0.030000000000000027,0.050000000000000044
11,SAC,2015,1.0257303370786517,1.0414606741573034,0.040000000000000036,0.06000000000000005
12,MIN,2015,1.026741573033708,1.0629213483146067,0.050000000000000044,0.040000000000000036
13,DET,2015,1.0323333333333333,1.026629213483146,0.030000000000000027,0.030000000000000027
14,MIA,2015,1.0295555555555556,1.0075280898876404,0.050000000000000044,0.050000000000000044
15,UTA,2015,1.017840909090909,1.0059090909090909,0.07000000000000006,0.040000000000000036
16,NOP,2015,1.028,1.0684444444444445,0.040000000000000036,0.020000000000000018
17,DEN,2015,1.02,1.0580898876404494,0.040000000000000036,0.030000000000000027
18,ATL,2015,1.0127272727272727,0.9826136363636364,0.06000000000000005,0.030000000000000027
19,MEM,2015,1.0,1.0464444444444445,0.040000000000000036,0.030000000000000027
20,WAS,2015,1.0197727272727273,1.0291011235955057,0.06000000000000005,0.050000000000000044
21,CHI,2015,1.0267032967032967,1.0358426966292136,0.030000000000000027,0.010000000000000009
22,ORL,2015,1.0059090909090909,1.03,0.050000000000000044,0.020000000000000018
23,NYK,2015,1.0225274725274724,1.0407865168539325,0.020000000000000018,0.040000000000000036
24,IND,2015,0.9940909090909091,0.9964444444444445,0.040000000000000036,0.040000000000000036
25,MIL,2015,1.0015909090909092,1.0496629213483146,0.040000000000000036,0.040000000000000036
26,BKN,2015,1.0016666666666667,1.0681818181818183,0.030000000000000027,0.030000000000000027
27,PHX,2015,0.9878651685393258,1.0448275862068965,0.030000000000000027,0.050000000000000044
28,LAL,2015,0.9835955056179775,1.0819101123595507,0.040000000000000036,0.040000000000000036
29,PHI,2015,0.9491011235955055,1.0506741573033709,0.04999999999999993,0.06000000000000005
