,TEAM_ID,TEAM_NAME,SEASON,SC_REMAINING,PPP,SCALED_PPP,TOTAL_PTS,TOTAL_POSS
51,1610612757,Portland Trail Blazers,2021-22,22-18,0.6958848136978305,1.1995627936604973,7153.0,10279.0
52,1610612758,Sacramento Kings,2021-22,22-18,0.703530784943099,1.2127428810063963,7233.0,10281.0
53,1610612759,San Antonio Spurs,2021-22,22-18,0.7345057034220532,1.2661372919960212,7727.0,10520.0
54,1610612760,Oklahoma City Thunder,2021-22,22-18,0.6564764913584835,1.1316309228848442,7065.0,10762.0
55,1610612761,Toronto Raptors,2021-22,22-18,0.7056160292842694,1.2163374148690727,7325.0,10381.0
56,1610612762,Utah Jazz,2021-22,22-18,0.7361138179692068,1.2689093518840062,7554.0,10262.0
57,1610612763,Memphis Grizzlies,2021-22,22-18,0.7103300391571882,1.224463401729532,7619.0,10726.0
58,1610612764,Washington Wizards,2021-22,22-18,0.7187312986235787,1.2389454511684581,7206.0,10026.0
59,1610612765,Detroit Pistons,2021-22,22-18,0.6609905614478934,1.1394122545372158,6793.0,10277.0
60,1610612766,Charlotte Hornets,2021-22,22-18,0.7490230558812035,1.2911622322299006,7667.0,10236.0
61,0,Overall,2021-22,22-18,0.7158997471554256,1.2340644367783293,7380.2,10314.2
62,1610612737,Atlanta Hawks,2021-22,18-15,0.7347698555956679,1.2665926362039928,6513.0,8864.0
63,1610612738,Boston Celtics,2021-22,18-15,0.7361541107671139,1.2689788084093827,6420.0,8721.0
64,1610612739,Cleveland Cavaliers,2021-22,18-15,0.7056867690896583,1.216459355795078,6155.0,8722.0
65,1610612740,New Orleans Pelicans,2021-22,18-15,0.6839771268526083,1.1790363820807044,5861.0,8569.0
66,1610612741,Chicago Bulls,2021-22,18-15,0.7425527039413382,1.2800086716173222,6481.0,8728.0
67,1610612742,Dallas Mavericks,2021-22,18-15,0.7323238073551178,1.2623761503673918,6432.0,8783.0
68,1610612743,Denver Nuggets,2021-22,18-15,0.6744405924992121,1.1625973514169794,6420.0,9519.0
69,1610612744,Golden State Warriors,2021-22,18-15,0.7310217716852897,1.2601317077314833,6346.0,8681.0
70,1610612745,Houston Rockets,2021-22,18-15,0.6760853090830357,1.1654325057144086,6245.0,9237.0
71,1610612746,LA Clippers,2021-22,18-15,0.7276394651913324,1.2543013045569298,6313.0,8676.0
72,1610612747,Los Angeles Lakers,2021-22,18-15,0.7066376246704116,1.2180984359335782,6164.0,8723.0
73,1610612748,Miami Heat,2021-22,18-15,0.7093486929552504,1.2227717620093184,6404.0,9028.0
74,1610612749,Milwaukee Bucks,2021-22,18-15,0.736347156129617,1.2693115790487028,6499.0,8826.0
75,1610612750,Minnesota Timberwolves,2021-22,18-15,0.7169031393140431,1.2357940792094273,6417.0,8951.0
76,1610612751,Brooklyn Nets,2021-22,18-15,0.7151891456824192,1.2328395054802757,6220.0,8697.0
77,1610612752,New York Knicks,2021-22,18-15,0.6727104746506525,1.1596149828425715,5825.0,8659.0
78,1610612753,Orlando Magic,2021-22,18-15,0.6365200559199914,1.097230118362477,5919.0,9299.0
79,1610612754,Indiana Pacers,2021-22,18-15,0.7190911116061484,1.2395656950048959,6456.0,8978.0
80,1610612755,Philadelphia 76ers,2021-22,18-15,0.7118192352259559,1.2270304705337305,6143.0,8630.0
81,1610612756,Phoenix Suns,2021-22,18-15,0.7456827078056643,1.285404156769107,6477.0,8686.0
82,1610612757,Portland Trail Blazers,2021-22,18-15,0.6858168761220825,1.1822077327552483,6112.0,8912.0
83,1610612758,Sacramento Kings,2021-22,18-15,0.7036014267633184,1.2128646530260518,6115.0,8691.0
84,1610612759,San Antonio Spurs,2021-22,18-15,0.7237936772046589,1.2476719542818377,6525.0,9015.0
85,1610612760,Oklahoma City Thunder,2021-22,18-15,0.6374635411040294,1.0988564934476406,5901.0,9257.0
86,1610612761,Toronto Raptors,2021-22,18-15,0.6918544194107452,1.1926152199595015,5988.0,8655.0
87,1610612762,Utah Jazz,2021-22,18-15,0.7286993037904741,1.2561282490825043,6594.0,9049.0
88,1610612763,Memphis Grizzlies,2021-22,18-15,0.6908460936626802,1.190877073031361,6181.0,8947.0
89,1610612764,Washington Wizards,2021-22,18-15,0.7113203266787659,1.2261704544522354,6271.0,8816.0
90,1610612765,Detroit Pistons,2021-22,18-15,0.6485482781904118,1.1179643083109592,5763.0,8886.0
91,1610612766,Charlotte Hornets,2021-22,18-15,0.7268442139995286,1.2529304544930624,6168.0,8486.0
92,0,Overall,2021-22,18-15,0.7054563004315743,1.2160620750642723,6244.266666666666,8856.366666666667
93,1610612737,Atlanta Hawks,2021-22,15-7,0.718978102189781,1.2393708899329368,4925.0,6850.0
94,1610612738,Boston Celtics,2021-22,15-7,0.7304111158859762,1.2590790622904986,5099.0,6981.0
95,1610612739,Cleveland Cavaliers,2021-22,15-7,0.6921363952679193,1.1931012885448744,4973.0,7185.0
96,1610612740,New Orleans Pelicans,2021-22,15-7,0.6699942129629629,1.1549327044047313,4631.0,6912.0
97,1610612741,Chicago Bulls,2021-22,15-7,0.728916534066252,1.2565027095554884,5039.0,6913.0
