,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
0,2022-23,1630639,A.J. Lawson,1610612742,DAL,15,108.0,147,3.5
1,2022-23,1631260,AJ Green,1610612749,MIL,35,345.0,423,17.8
2,2022-23,1631100,AJ Griffin,1610612737,ATL,72,1401.0,1518,52.8
3,2022-23,203932,Aaron Gordon,1610612743,DEN,68,2055.0,2890,142.0
4,2022-23,1628988,Aaron Holiday,1610612737,ATL,63,845.0,1292,90.7
5,2022-23,1630174,Aaron Nesmith,1610612754,IND,73,1816.0,2635,73.6
6,2022-23,1630598,Aaron Wiggins,1610612760,OKC,70,1297.0,1465,46.5
7,2022-23,1629678,Admiral Schofield,1610612753,ORL,37,451.0,714,21.7
8,2022-23,201143,Al Horford,1610612738,BOS,63,1921.0,2880,73.6
9,2022-23,202692,Alec Burks,1610612765,DET,50,1102.0,1729,87.4
10,2022-23,1630197,Aleksej Pokusevski,1610612760,OKC,34,701.0,1418,37.7
11,2022-23,1627936,Alex Caruso,1610612741,CHI,66,1553.0,2780,120.5
12,2022-23,203458,Alex Len,1610612758,SAC,26,161.0,254,6.2
13,2022-23,1628993,Alize Johnson,1610612759,SAS,4,30.0,46,2.1
14,2022-23,1631214,Alondes Williams,1610612751,BKN,1,5.0,9,0.4
15,2022-23,1630578,Alperen Sengun,1610612745,HOU,75,2171.0,4203,169.2
16,2022-23,1629599,Amir Coffey,1610612746,LAC,50,625.0,681,28.3
17,2022-23,203083,Andre Drummond,1610612741,CHI,67,849.0,1152,27.3
18,2022-23,2738,Andre Iguodala,1610612744,GSW,7,95.0,171,5.0
19,2022-23,1629614,Andrew Nembhard,1610612754,IND,75,2073.0,3700,225.0
20,2022-23,203952,Andrew Wiggins,1610612744,GSW,36,1163.0,1663,63.3
21,2022-23,1629014,Anfernee Simons,1610612757,POR,62,2171.0,4181,332.9
22,2022-23,203076,Anthony Davis,1610612747,LAL,56,1905.0,3837,138.2
23,2022-23,1630162,Anthony Edwards,1610612750,MIN,78,2817.0,5568,370.2
24,2022-23,1630264,Anthony Gill,1610612764,WAS,59,625.0,656,19.4
25,2022-23,1630237,Anthony Lamb,1610612744,GSW,61,1171.0,1989,60.1
26,2022-23,1630559,Austin Reaves,1610612747,LAL,64,1843.0,2682,160.6
27,2022-23,203085,Austin Rivers,1610612750,MIN,52,1016.0,1184,59.1
28,2022-23,1630245,Ayo Dosunmu,1610612741,CHI,79,2072.0,3375,193.6
29,2022-23,1628389,Bam Adebayo,1610612748,MIA,75,2598.0,4639,220.3
30,2022-23,1627732,Ben Simmons,1610612751,BKN,42,1105.0,2577,146.7
31,2022-23,1631097,Bennedict Mathurin,1610612754,IND,78,2222.0,3273,135.8
32,2022-23,202687,Bismack Biyombo,1610612756,PHX,61,874.0,1408,36.8
33,2022-23,201933,Blake Griffin,1610612738,BOS,41,569.0,842,23.5
34,2022-23,1631104,Blake Wesley,1610612759,SAS,34,611.0,1231,99.3
35,2022-23,1626246,Boban Marjanović,1610612745,HOU,31,171.0,225,7.8
36,2022-23,1626171,Bobby Portis,1610612749,MIL,70,1818.0,3463,101.6
37,2022-23,203992,Bogdan Bogdanović,1610612737,ATL,54,1509.0,2185,97.9
38,2022-23,202711,Bojan Bogdanović,1610612765,DET,58,1858.0,2701,133.5
39,2022-23,1629626,Bol Bol,1610612753,ORL,70,1505.0,1638,63.3
40,2022-23,1630538,Bones Hyland,1610612746,LAC,56,1085.0,2557,202.5
41,2022-23,203078,Bradley Beal,1610612764,WAS,50,1673.0,3393,255.5
42,2022-23,1630527,Brandon Boston,1610612746,LAC,22,248.0,429,21.1
43,2022-23,1629634,Brandon Clarke,1610612763,MEM,56,1090.0,1594,40.3
44,2022-23,1627742,Brandon Ingram,1610612740,NOP,45,1538.0,2974,202.0
45,2022-23,1630296,Braxton Key,1610612765,DET,3,9.0,10,0.3
46,2022-23,201572,Brook Lopez,1610612749,MIL,78,2372.0,2676,63.9
47,2022-23,1628971,Bruce Brown,1610612743,DEN,80,2279.0,4127,243.2
48,2022-23,1628981,Bruno Fernando,1610612737,ATL,39,405.0,719,16.8
49,2022-23,1631121,Bryce McGowens,1610612766,CHA,46,787.0,872,34.7
50,2022-23,1627854,Bryn Forbes,1610612750,MIN,25,268.0,297,10.2
51,2022-23,1631205,Buddy Boeheim,1610612765,DET,10,90.0,87,1.9
52,2022-23,1627741,Buddy Hield,1610612754,IND,80,2482.0,4698,158.6
53,2022-23,203468,CJ McCollum,1610612740,NOP,75,2649.0,5632,410.4
54,2022-23,1630595,Cade Cunningham,1610612765,DET,12,400.0,939,84.1
55,2022-23,1631216,Caleb Houstan,1610612753,ORL,51,812.0,711,16.6
56,2022-23,1628997,Caleb Martin,1610612748,MIA,71,2078.0,2765,115.2
57,2022-23,1629629,Cam Reddish,1610612757,POR,40,990.0,1139,58.8
58,2022-23,1630560,Cam Thomas,1610612751,BKN,57,948.0,1649,134.1
59,2022-23,1629661,Cameron Johnson,1610612751,BKN,42,1200.0,1658,62.2
60,2022-23,1626166,Cameron Payne,1610612756,PHX,48,968.0,2383,199.0
61,2022-23,1627747,Caris LeVert,1610612739,CLE,74,2237.0,3486,207.9
62,2022-23,1630637,Carlik Jones,1610612741,CHI,6,55.0,86,6.1
63,2022-23,1626224,Cedi Osman,1610612739,CLE,77,1548.0,2168,85.3
64,2022-23,1628435,Chance Comanche,1610612757,POR,1,21.0,24,0.8
65,2022-23,1629646,Charles Bassey,1610612759,SAS,35,508.0,871,21.6
66,2022-23,1631320,Chima Moneke,1610612758,SAC,2,8.0,13,0.2
67,2022-23,1629002,Chimezie Metu,1610612758,SAC,66,689.0,1032,30.6
68,2022-23,1628449,Chris Boucher,1610612761,TOR,76,1523.0,1778,49.7
69,2022-23,1630537,Chris Duarte,1610612754,IND,46,897.0,1339,49.0
70,2022-23,101108,Chris Paul,1610612756,PHX,59,1889.0,4394,409.6
71,2022-23,1629735,Chris Silva,1610612742,DAL,1,3.0,4,0.1
72,2022-23,1631128,Christian Braun,1610612743,DEN,76,1181.0,1391,50.4
73,2022-23,1631132,Christian Koloko,1610612761,TOR,58,802.0,850,17.0
74,2022-23,1626174,Christian Wood,1610612742,DAL,67,1738.0,3083,116.6
75,2022-23,1629643,Chuma Okeke,1610612753,ORL,27,518.0,650,22.2
76,2022-23,203991,Clint Capela,1610612737,ATL,65,1730.0,2402,52.2
77,2022-23,1629632,Coby White,1610612741,CHI,73,1713.0,2800,157.6
78,2022-23,1628998,Cody Martin,1610612766,CHA,7,134.0,150,6.4
79,2022-23,203469,Cody Zeller,1610612748,MIA,15,217.0,345,10.2
80,2022-23,1630175,Cole Anthony,1610612753,ORL,60,1552.0,3172,249.0
81,2022-23,1631306,Cole Swider,1610612747,LAL,7,41.0,56,1.6
82,2022-23,1629012,Collin Sexton,1610612762,UTA,48,1145.0,2202,178.0
83,2022-23,1630557,Corey Kispert,1610612764,WAS,74,2093.0,2416,60.6
84,2022-23,202709,Cory Joseph,1610612765,DET,62,1227.0,2510,204.8
85,2022-23,1626156,D'Angelo Russell,1610612747,LAL,71,2304.0,5621,383.1
86,2022-23,1630227,Daishen Nix,1610612745,HOU,57,914.0,2050,153.4
87,2022-23,1630625,Dalano Banton,1610612761,TOR,31,279.0,638,40.0
88,2022-23,1631207,Dalen Terry,1610612741,CHI,37,213.0,310,14.1
89,2022-23,1627745,Damian Jones,1610612762,UTA,41,477.0,485,10.4
