,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
0,2024-25,1630639,A.J. Lawson,1610612761,TOR,15,267.0,445,14.3
1,2024-25,1631260,AJ Green,1610612749,MIL,63,1407.0,1823,53.8
2,2024-25,1642358,AJ Johnson,1610612764,WAS,18,257.0,482,33.4
3,2024-25,203932,Aaron Gordon,1610612743,DEN,43,1186.0,1776,92.8
4,2024-25,1628988,Aaron Holiday,1610612745,HOU,52,647.0,993,63.0
5,2024-25,1630174,Aaron Nesmith,1610612754,IND,34,842.0,1252,33.6
6,2024-25,1630598,Aaron Wiggins,1610612760,OKC,69,1565.0,2252,101.5
7,2024-25,1641745,Adam Flagler,1610612760,OKC,28,133.0,229,10.3
8,2024-25,1641766,Adama Sanogo,1610612741,CHI,4,21.0,21,0.5
9,2024-25,1641737,Adem Bona,1610612755,PHI,48,604.0,682,19.7
10,2024-25,1642349,Ajay Mitchell,1610612760,OKC,34,561.0,901,62.9
11,2024-25,201143,Al Horford,1610612738,BOS,54,1478.0,1897,41.0
12,2024-25,202692,Alec Burks,1610612748,MIA,39,664.0,1016,43.2
13,2024-25,1627936,Alex Caruso,1610612760,OKC,45,870.0,1512,62.9
14,2024-25,1642505,Alex Ducas,1610612760,OKC,19,96.0,83,1.8
15,2024-25,203458,Alex Len,1610612747,LAL,44,360.0,548,12.3
16,2024-25,1642024,Alex Reese,1610612755,PHI,11,162.0,226,4.8
17,2024-25,1642259,Alex Sarr,1610612764,WAS,55,1483.0,2777,84.3
18,2024-25,1631214,Alondes Williams,1610612765,DET,1,4.0,4,0.3
19,2024-25,1630578,Alperen Sengun,1610612745,HOU,67,2113.0,4191,179.4
20,2024-25,1641708,Amen Thompson,1610612745,HOU,61,1985.0,3299,200.1
21,2024-25,1629599,Amir Coffey,1610612746,LAC,68,1682.0,1751,63.4
22,2024-25,203083,Andre Drummond,1610612755,PHI,40,751.0,1047,28.7
23,2024-25,1641748,Andre Jackson Jr.,1610612749,MIL,60,915.0,1192,34.4
24,2024-25,1629614,Andrew Nembhard,1610612754,IND,54,1567.0,3150,176.9
25,2024-25,203952,Andrew Wiggins,1610612748,MIA,54,1664.0,2562,125.9
26,2024-25,1629014,Anfernee Simons,1610612757,POR,67,2190.0,4361,327.2
27,2024-25,1641710,Anthony Black,1610612753,ORL,67,1602.0,3260,251.4
28,2024-25,203076,Anthony Davis,1610612742,DAL,44,1497.0,3303,138.4
29,2024-25,1630162,Anthony Edwards,1610612750,MIN,70,2539.0,5145,412.2
30,2024-25,1630264,Anthony Gill,1610612764,WAS,46,313.0,337,10.1
31,2024-25,1641817,Anton Watson,1610612752,NYK,5,14.0,27,0.7
32,2024-25,1641810,Antonio Reeves,1610612740,NOP,35,380.0,432,16.8
33,2024-25,1630574,Ariel Hukporti,1610612752,NYK,25,217.0,283,8.2
34,2024-25,1642422,Armel Traoré,1610612747,LAL,9,67.0,105,2.6
35,2024-25,1641709,Ausar Thompson,1610612765,DET,49,1048.0,1521,75.9
36,2024-25,1630559,Austin Reaves,1610612747,LAL,62,2143.0,4930,325.7
37,2024-25,1630245,Ayo Dosunmu,1610612741,CHI,46,1394.0,2600,128.2
