,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
98,2015-16,201568,Danilo Gallinari,1610612743,DEN,53,1839.0,2838,142.9
99,2015-16,201980,Danny Green,1610612759,SAS,79,2061.0,3348,106.6
100,2015-16,201967,Dante Cunningham,1610612740,NOP,80,1971.0,2171,55.8
101,2015-16,201589,Darrell Arthur,1610612743,DEN,70,1516.0,2340,55.6
102,2015-16,201954,Darren Collison,1610612758,SAC,73,2192.0,4403,328.7
103,2015-16,1626199,Darrun Hilliard,1610612765,DET,38,383.0,443,20.3
104,2015-16,101135,David Lee,1610612742,DAL,54,888.0,1790,49.1
105,2015-16,2561,David West,1610612759,SAS,78,1404.0,2317,61.2
106,2015-16,201599,DeAndre Jordan,1610612746,LAC,77,2598.0,4098,90.0
107,2015-16,201971,DeJuan Blair,1610612764,WAS,29,218.0,327,8.1
108,2015-16,201942,DeMar DeRozan,1610612761,TOR,77,2764.0,4916,317.8
109,2015-16,202326,DeMarcus Cousins,1610612758,SAC,64,2221.0,4565,169.5
110,2015-16,201960,DeMarre Carroll,1610612761,TOR,26,786.0,1159,41.5
111,2015-16,1626153,Delon Wright,1610612761,TOR,27,229.0,513,47.4
112,2015-16,203471,Dennis Schröder,1610612737,ATL,80,1621.0,4365,365.3
113,2015-16,101114,Deron Williams,1610612742,DAL,65,2106.0,5793,426.9
114,2015-16,202324,Derrick Favors,1610612762,UTA,62,1983.0,4155,114.9
115,2015-16,201565,Derrick Rose,1610612741,CHI,66,2097.0,4995,394.2
116,2015-16,202682,Derrick Williams,1610612752,NYK,80,1435.0,2522,104.1
117,2015-16,1626164,Devin Booker,1610612756,PHX,76,2108.0,3299,193.3
118,2015-16,2734,Devin Harris,1610612742,DAL,64,1280.0,2076,87.6
119,2015-16,203906,Devyn Marble,1610612753,ORL,28,249.0,265,9.2
120,2015-16,203473,Dewayne Dedmon,1610612753,ORL,58,705.0,891,22.5
121,2015-16,203079,Dion Waiters,1610612760,OKC,78,2152.0,2335,131.4
122,2015-16,1717,Dirk Nowitzki,1610612742,DAL,75,2364.0,4202,111.2
123,2015-16,202388,Donald Sloan,1610612751,BKN,61,1318.0,3251,274.6
124,2015-16,202700,Donatas Motiejunas,1610612745,HOU,37,547.0,1032,24.7
125,2015-16,203926,Doug McDermott,1610612741,CHI,81,1861.0,1949,47.7
126,2015-16,203110,Draymond Green,1610612744,GSW,81,2808.0,6626,236.2
127,2015-16,2400,Drew Gooden,1610612764,WAS,30,305.0,546,14.1
128,2015-16,1626251,Duje Dukan,1610612758,SAC,1,24.0,33,1.1
129,2015-16,2730,Dwight Howard,1610612745,HOU,71,2280.0,3681,107.1
130,2015-16,203939,Dwight Powell,1610612742,DAL,69,992.0,1846,42.3
131,2015-16,2548,Dwyane Wade,1610612748,MIA,74,2258.0,4350,297.3
132,2015-16,202734,E'Twaun Moore,1610612741,CHI,59,1263.0,1978,125.5
133,2015-16,202334,Ed Davis,1610612757,POR,81,1684.0,2614,70.5
134,2015-16,204002,Edy Tavares,1610612737,ATL,11,73.0,101,2.1
135,2015-16,203901,Elfrid Payton,1610612753,ORL,72,2125.0,5299,430.3
136,2015-16,202407,Elijah Millsap,1610612762,UTA,20,173.0,235,10.0
137,2015-16,202343,Elliot Williams,1610612766,CHA,5,45.0,96,8.2
138,2015-16,1882,Elton Brand,1610612755,PHI,17,225.0,433,10.9
139,2015-16,1626144,Emmanuel Mudiay,1610612743,DEN,68,2068.0,5012,408.5
140,2015-16,202683,Enes Freedom,1610612760,OKC,82,1721.0,3569,93.6
141,2015-16,202339,Eric Bledsoe,1610612756,PHX,31,1059.0,2694,201.8
142,2015-16,201569,Eric Gordon,1610612740,NOP,45,1481.0,1965,81.8
143,2015-16,203961,Eric Moreland,1610612758,SAC,7,43.0,56,1.8
144,2015-16,203475,Erick Green,1610612743,DEN,9,42.0,95,7.0
145,2015-16,101141,Ersan Ilyasova,1610612753,ORL,74,1880.0,3144,75.6
146,2015-16,203095,Evan Fournier,1610612753,ORL,78,2532.0,3757,155.9
147,2015-16,202323,Evan Turner,1610612738,BOS,80,2244.0,4370,291.2
148,2015-16,203105,Festus Ezeli,1610612744,GSW,46,770.0,1173,28.1
149,2015-16,1626163,Frank Kaminsky,1610612766,CHA,81,1708.0,3470,83.9
150,2015-16,202066,Garrett Temple,1610612764,WAS,80,1951.0,2467,97.6
151,2015-16,203914,Gary Harris,1610612743,DEN,76,2439.0,2552,95.7
152,2015-16,202390,Gary Neal,1610612764,WAS,40,807.0,1151,48.0
153,2015-16,201588,George Hill,1610612754,IND,74,2524.0,5294,406.4
154,2015-16,101123,Gerald Green,1610612748,MIA,69,1557.0,1719,57.9
155,2015-16,201945,Gerald Henderson,1610612757,POR,72,1431.0,1790,77.0
156,2015-16,203507,Giannis Antetokounmpo,1610612749,MIL,80,2823.0,5503,311.8
157,2015-16,203922,Glenn Robinson III,1610612754,IND,45,508.0,661,24.7
158,2015-16,201609,Goran Dragic,1610612748,MIA,72,2363.0,5926,484.9
159,2015-16,202330,Gordon Hayward,1610612762,UTA,80,2893.0,5397,299.2
160,2015-16,203476,Gorgui Dieng,1610612750,MIN,82,2220.0,3217,92.6
161,2015-16,202328,Greg Monroe,1610612749,MIL,79,2314.0,3570,121.6
162,2015-16,202962,Greg Smith,1610612750,MIN,18,192.0,221,5.8
163,2015-16,202349,Greivis Vasquez,1610612749,MIL,23,460.0,1100,84.2
164,2015-16,203084,Harrison Barnes,1610612744,GSW,66,2042.0,2799,91.4
165,2015-16,202355,Hassan Whiteside,1610612748,MIA,73,2125.0,2538,70.2
166,2015-16,203156,Henry Sims,1610612751,BKN,14,263.0,318,7.6
167,2015-16,203138,Hollis Thompson,1610612755,PHI,77,2154.0,2506,70.7
168,2015-16,203546,Ian Clark,1610612744,GSW,66,578.0,1166,65.3
169,2015-16,101133,Ian Mahinmi,1610612754,IND,71,1816.0,2922,71.3
