,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
0,2014-15,201985,AJ Price,1610612739,CLE,26,324.0,788,74.4
1,2014-15,201166,Aaron Brooks,1610612741,CHI,82,1885.0,4378,392.1
2,2014-15,203932,Aaron Gordon,1610612753,ORL,47,797.0,1054,34.2
3,2014-15,203940,Adreian Payne,1610612750,MIN,32,740.0,1258,36.3
4,2014-15,201143,Al Horford,1610612737,ATL,76,2318.0,4423,125.6
5,2014-15,2744,Al Jefferson,1610612766,CHA,65,1992.0,2586,98.6
6,2014-15,202329,Al-Farouq Aminu,1610612742,DAL,74,1366.0,1894,52.3
7,2014-15,101187,Alan Anderson,1610612751,BKN,74,1744.0,1880,76.4
8,2014-15,202692,Alec Burks,1610612762,UTA,27,899.0,1748,84.6
9,2014-15,203945,Alex Kirk,1610612739,CLE,5,14.0,19,0.6
10,2014-15,203458,Alex Len,1610612756,PHX,69,1518.0,2131,48.5
11,2014-15,203144,Alexey Shved,1610612752,NYK,42,767.0,1715,105.4
12,2014-15,201582,Alexis Ajinca,1610612740,NOP,68,957.0,1364,42.2
13,2014-15,203459,Allen Crabbe,1610612757,POR,51,683.0,803,21.3
14,2014-15,202087,Alonzo Gee,1610612757,POR,54,661.0,754,26.6
15,2014-15,2405,Amar'e Stoudemire,1610612742,DAL,58,1236.0,2045,69.2
16,2014-15,101161,Amir Johnson,1610612761,TOR,75,1979.0,3236,74.2
17,2014-15,2760,Anderson Varejao,1610612739,CLE,26,636.0,1009,24.8
18,2014-15,203958,Andre Dawkins,1610612748,MIA,4,22.0,21,0.7
19,2014-15,203083,Andre Drummond,1610612765,DET,82,2502.0,2584,70.1
20,2014-15,2738,Andre Iguodala,1610612744,GSW,77,2069.0,3418,170.8
21,2014-15,1889,Andre Miller,1610612758,SAC,81,1253.0,3147,284.2
22,2014-15,203460,Andre Roberson,1610612760,OKC,67,1286.0,1446,41.2
23,2014-15,200745,Andrea Bargnani,1610612752,NYK,29,785.0,1394,44.8
24,2014-15,1905,Andrei Kirilenko,1610612751,BKN,7,36.0,43,1.4
25,2014-15,101106,Andrew Bogut,1610612744,GSW,67,1583.0,2848,93.0
