,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
0,2023-24,1630639,A.J. Lawson,1610612742,DAL,41,308.0,419,12.9
1,2023-24,1631260,AJ Green,1610612749,MIL,56,614.0,692,22.1
2,2023-24,1631100,AJ Griffin,1610612737,ATL,20,171.0,169,5.6
3,2023-24,203932,Aaron Gordon,1610612743,DEN,71,2244.0,3005,158.5
4,2023-24,1628988,Aaron Holiday,1610612745,HOU,78,1269.0,2021,139.6
5,2023-24,1630174,Aaron Nesmith,1610612754,IND,72,1995.0,2827,75.8
6,2023-24,1630598,Aaron Wiggins,1610612760,OKC,78,1228.0,1544,58.2
7,2023-24,1641745,Adam Flagler,1610612760,OKC,2,14.0,19,1.3
8,2023-24,1641766,Adama Sanogo,1610612741,CHI,9,66.0,88,2.1
9,2023-24,1629678,Admiral Schofield,1610612753,ORL,23,84.0,160,5.1
10,2023-24,201143,Al Horford,1610612738,BOS,64,1708.0,2125,50.9
11,2023-24,202692,Alec Burks,1610612752,NYK,66,1212.0,1979,92.3
12,2023-24,1630197,Aleksej Pokusevski,1610612766,CHA,27,398.0,616,22.5
13,2023-24,1627936,Alex Caruso,1610612741,CHI,70,2004.0,3689,159.9
14,2023-24,1641788,Alex Fudge,1610612742,DAL,6,40.0,40,1.2
15,2023-24,203458,Alex Len,1610612758,SAC,48,444.0,693,15.7
16,2023-24,1631214,Alondes Williams,1610612748,MIA,7,16.0,38,3.3
17,2023-24,1630578,Alperen Sengun,1610612745,HOU,63,2046.0,3867,149.8
18,2023-24,1641735,Amari Bailey,1610612766,CHA,10,65.0,76,4.0
19,2023-24,1641708,Amen Thompson,1610612745,HOU,62,1389.0,2500,142.2
20,2023-24,1629599,Amir Coffey,1610612746,LAC,69,1445.0,1401,52.7
21,2023-24,203083,Andre Drummond,1610612741,CHI,78,1339.0,1636,39.5
22,2023-24,1641748,Andre Jackson Jr.,1610612749,MIL,57,572.0,664,22.3
23,2023-24,1641847,Andrew Funk,1610612741,CHI,5,13.0,14,0.3
24,2023-24,1629614,Andrew Nembhard,1610612754,IND,68,1697.0,3164,190.5
25,2023-24,203952,Andrew Wiggins,1610612744,GSW,70,1894.0,2586,121.6
26,2023-24,1629014,Anfernee Simons,1610612757,POR,45,1540.0,3300,283.0
27,2023-24,1641710,Anthony Black,1610612753,ORL,69,1164.0,1820,102.9
28,2023-24,203076,Anthony Davis,1610612747,LAL,75,2669.0,5507,207.4
29,2023-24,1630162,Anthony Edwards,1610612750,MIN,79,2770.0,5535,393.8
30,2023-24,1630264,Anthony Gill,1610612764,WAS,50,466.0,595,18.1
31,2023-24,1629717,Armoni Brooks,1610612751,BKN,10,104.0,153,5.0
32,2023-24,1630204,Ashton Hagans,1610612757,POR,19,316.0,723,47.7
33,2023-24,1641709,Ausar Thompson,1610612765,DET,62,1572.0,1914,73.3
