,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
10,HOU,1940.9728936880692,1307,30836,1429.6999999999998,1.3576085148549133,6.294502833337883,0.9141777995383648,4.23855234141912
9,GSW,1923.6211149542594,1245,36806,1592.8,1.2076978371134226,5.226379163599031,0.7816423907584129,3.3826006629353906
23,PHX,1953.1640481556647,1410,34436,1664.3,1.1735648910386738,5.671866791020051,0.8472030283001862,4.094552212800558
1,BKN,1794.5119411490703,1212,30690,1566.7,1.1454087835252889,5.847220401267743,0.7736005616901768,3.949169110459433
25,SAC,1844.6742394459473,1326,32892,1644.9,1.12145068967472,5.608276296503549,0.8061280320992157,4.031375410434148
20,OKC,1893.154639408311,1305,31954,1733.3999999999999,1.0921625934050485,5.924624896439604,0.7528556593977155,4.083995743881831
17,MIN,1670.1528357861564,1231,31189,1628.9,1.025325579093963,5.354941921145777,0.7557247222051691,3.9469043573054607
0,ATL,1724.5559374493369,1226,37454,1691.8,1.0193615896969719,4.60446397567506,0.7246719470386571,3.2733486409996266
16,MIL,1744.7092061932358,1247,33928,1732.5,1.0070471608618965,5.1423874268840954,0.7197691197691197,3.6754303230370198
22,PHI,1832.3802117330808,1343,37908,1830.4,1.0010818464450835,4.833755966374065,0.7337194055944055,3.5427878020470613
2,BOS,1541.4057942990626,1127,34548,1563.8,0.985679622905143,4.461635389310706,0.720680393912265,3.2621280537223574
4,CHI,1565.0260447007415,1141,34470,1639.9,0.9543423652056475,4.540255424139082,0.6957741325690591,3.3101247461560774
21,ORL,1647.741346203964,1155,34314,1729.6,0.9526719161678793,4.80195065047492,0.6677844588344126,3.3659730722154224
24,POR,1699.8013203948135,1200,33005,1785.7,0.9518963545919322,5.1501327689586835,0.6720053760430084,3.635812755643084
29,WAS,1629.9978119640853,1186,36817,1732.6999999999998,0.9407270802586053,4.427296661770609,0.6844808680094651,3.2213379688730748
7,DEN,1573.919299772983,1202,33182,1715.6,0.9174162390842756,4.743292447028458,0.7006295173700163,3.6224459044060033
18,NOP,1469.9879052305735,1102,32890,1608.0,0.9141715828548342,4.469406826483957,0.6853233830845771,3.3505624809972634
8,DET,1475.699800830502,1110,30401,1652.8000000000002,0.8928483790116782,4.854115985758699,0.6715876089060987,3.651195684352489
5,CLE,1572.5221868035833,1114,34252,1761.8,0.8925656639820543,4.591037565116149,0.6323078669542513,3.252364825411655
12,LAC,1570.373681113818,1063,33979,1766.1,0.889175970281308,4.621600638964708,0.6018911726402809,3.1284028370464108
11,IND,1668.9138951466111,1219,36283,1879.3,0.8880508142109356,4.599713075397875,0.6486457723620497,3.3597001350494726
14,MEM,1498.7986469287366,1090,32603,1690.8,0.8864434864731113,4.597118814000971,0.6446652472202508,3.343250621108487
19,NYK,1502.6072390989636,1099,37568,1724.0,0.8715819252314174,3.999699848538553,0.6374709976798144,2.9253620102214652
13,LAL,1518.8160506043905,1124,32205,1756.9,0.864486339919398,4.716087721174944,0.6397632193067334,3.4901412824095637
28,UTA,1572.1837226045473,1224,38853,1854.7,0.8476754853100487,4.046492478327406,0.6599450045829514,3.1503358813991196
3,CHA,1438.3572252964145,1029,34248,1711.9,0.8402110084096118,4.1998283850047144,0.6010865120626204,3.004555010511563
6,DAL,1500.4189318563726,1047,37634,1799.7,0.8337050240908889,3.9868707335291824,0.5817636272712119,2.7820587766381464
27,TOR,1501.1976906808425,1073,34479,1808.3999999999999,0.8301248013054869,4.3539478832937215,0.5933421809334218,3.112039212274138
15,MIA,1605.011234383356,1155,37030,1937.6,0.8283501416099072,4.3343538600684735,0.5960982658959538,3.119092627599244
26,SAS,1487.2192200797087,1071,37532,1811.5,0.8209877008444432,3.962536555685039,0.5912227435826662,2.8535649579025897
