,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1603.2574888301397,1167,0.0,0,inf,inf,inf,inf
16,MIL,1733.1029001890145,1373,0.0,0,inf,inf,inf,inf
28,UTA,1645.8802761077914,1256,0.0,0,inf,inf,inf,inf
27,TOR,1414.1209714044237,1057,0.0,0,inf,inf,inf,inf
26,SAS,1594.564468956699,1146,0.0,0,inf,inf,inf,inf
25,SAC,1801.3090448538628,1333,0.0,0,inf,inf,inf,inf
24,POR,1537.3763236089958,1117,0.0,0,inf,inf,inf,inf
23,PHX,1655.6132384132482,1238,0.0,0,inf,inf,inf,inf
22,PHI,1745.685635592681,1453,0.0,0,inf,inf,inf,inf
21,ORL,1557.6546542985295,1221,0.0,0,inf,inf,inf,inf
20,OKC,1472.236556177519,1205,0.0,0,inf,inf,inf,inf
19,NYK,1517.5435902575177,1206,0.0,0,inf,inf,inf,inf
18,NOP,1472.651615466448,1087,0.0,0,inf,inf,inf,inf
17,MIN,1541.5142404704297,1231,0.0,0,inf,inf,inf,inf
15,MIA,1572.9376749618864,1214,0.0,0,inf,inf,inf,inf
1,BKN,1486.3171117656348,1133,0.0,0,inf,inf,inf,inf
14,MEM,1395.386796764056,1094,0.0,0,inf,inf,inf,inf
13,LAL,1551.7424227283084,1086,0.0,0,inf,inf,inf,inf
11,IND,1525.4399943473013,1147,0.0,0,inf,inf,inf,inf
10,HOU,1828.9012683390986,1366,0.0,0,inf,inf,inf,inf
9,GSW,1661.406367806739,1185,0.0,0,inf,inf,inf,inf
8,DET,1421.6326779152412,1099,0.0,0,inf,inf,inf,inf
7,DEN,1506.3920357303607,1166,0.0,0,inf,inf,inf,inf
6,DAL,1442.256894412554,1062,0.0,0,inf,inf,inf,inf
5,CLE,1592.8905743451699,1171,0.0,0,inf,inf,inf,inf
4,CHI,1536.1185977963953,1145,0.0,0,inf,inf,inf,inf
3,CHA,1217.1345320530686,976,0.0,0,inf,inf,inf,inf
2,BOS,1481.7149791174425,1133,0.0,0,inf,inf,inf,inf
29,WAS,1574.6775067553326,1233,0.0,0,inf,inf,inf,inf
12,LAC,0.0,1012,0.0,0,,,inf,inf
