,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
28,UTA,1529.315144322649,1259,25296,1275.7,1.1988046910109345,6.045679729295735,0.9869091479187897,4.977071473750791
9,GSW,1614.3567410844028,1336,36021,1639.8,0.9844839255301883,4.4817099499858495,0.8147335040858642,3.7089475583687297
26,SAS,1537.1321058621356,1253,30263,1567.9,0.9803763670273203,5.0792456328260105,0.7991581095733146,4.140369428014408
10,HOU,1565.7745972102482,1332,30235,1635.2,0.9575431734407095,5.178682312585574,0.8145792563600782,4.405490325781379
24,POR,1477.074008028719,1185,31134,1682.4,0.877956495499714,4.744247472309112,0.7043509272467903,3.8061283484293695
17,MIN,1488.2164277331394,1258,33864,1731.9,0.8592969731122694,4.394685883927296,0.7263698827876898,3.7148594377510036
4,CHI,1381.5660367810583,1097,32586,1611.5,0.8573168084275882,4.239753381148525,0.6807322370462302,3.3664764009083656
21,ORL,1385.982004860033,1236,29586,1619.8,0.8556500832572126,4.684587321233127,0.7630571675515496,4.177651591969175
11,IND,1508.8436944737916,1224,36848,1768.4,0.8532253418196062,4.094777720565001,0.6921510970368695,3.3217542336083374
25,SAC,1421.2097133799807,1106,34616,1666.4,0.8528622859937474,4.105643960538424,0.6637061929908785,3.1950543101455975
16,MIL,1442.7318020817952,1199,31869,1705.0,0.8461770100186482,4.527069572568312,0.7032258064516129,3.7622768207348836
29,WAS,1437.742929825524,1158,31664,1711.6,0.8399993747520005,4.540623199297386,0.676559943912129,3.6571500757958564
8,DET,1406.185939679568,1237,29579,1687.1,0.8334929403589403,4.754000945534224,0.7332108351609271,4.182021028432334
3,CHA,1274.998196378578,1164,28745,1531.8999999999999,0.8322985810944437,4.435547734835895,0.7598407206736733,4.049399895634023
18,NOP,1417.432823699133,1196,34708,1747.0,0.8113525035484448,4.083879289210364,0.6846021751574127,3.4458914371326497
1,BKN,1434.235561091207,1127,34682,1777.5,0.8068835786729717,4.135388850386964,0.6340365682137834,3.2495242488899145
13,LAL,1408.4989982845527,1154,33857,1775.9,0.7931184178639297,4.160141176963561,0.6498113632524354,3.408453200224473
5,CLE,1356.8438922527039,1094,30211,1745.1,0.777516412957827,4.491224693829081,0.6268981720245258,3.6211975770414746
14,MEM,1337.8113202227794,1116,33452,1725.5,0.77531806445829,3.9991968199891765,0.6467690524485656,3.336123400693531
2,BOS,1351.088128309049,1095,33781,1758.7,0.7682311527315908,3.999550422749619,0.6226189799283561,3.2414670968887838
22,PHI,1418.7246425577503,1121,35399,1867.5,0.7596919103388221,4.007809945359333,0.6002677376171353,3.1667561230543235
7,DEN,1380.1052031064921,1192,35962,1821.0,0.7578831428371731,3.8376764448765144,0.6545853926414058,3.3146098659696346
6,DAL,1258.1931244128602,1002,30828,1712.3999999999999,0.734754218881605,4.081332309630402,0.5851436580238263,3.250291942390035
20,OKC,1187.5230969403442,1069,31500,1633.3,0.727069795469506,3.7699145934614107,0.654503153125574,3.393650793650794
12,LAC,1530.0210128897806,1167,37919,2136.4,0.7161678584954974,4.034971947809226,0.5462460213443175,3.07761280624489
23,PHX,1313.9720666166518,1110,33621,1836.2,0.7155931089296654,3.90818853281179,0.6045093127110336,3.3015079860801286
15,MIA,1259.6058816681702,1106,34474,1773.9,0.7100771642528723,3.6537851182577312,0.6234849766052201,3.2082148865811915
19,NYK,1302.3485732188506,1065,33855,1878.5,0.6932917610960078,3.846842632458575,0.5669417088102209,3.1457687195392112
0,ATL,1254.3592125692833,1060,33848,1813.6000000000001,0.6916405009755642,3.705859172090768,0.584472871636524,3.131647364689199
27,TOR,1159.692566469482,956,37539,1865.7,0.621585767523976,3.0893006379218466,0.5124082113951868,2.546684781160926
