,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1380.9137947977379,1110,0.0,0,inf,inf,inf,inf
1,BKN,1252.6319489076463,1076,0.0,0,inf,inf,inf,inf
28,UTA,1547.375827583253,1285,0.0,0,inf,inf,inf,inf
27,TOR,1418.5016660232736,1147,0.0,0,inf,inf,inf,inf
26,SAS,1495.6739074331738,1242,0.0,0,inf,inf,inf,inf
25,SAC,1392.2984095351453,1078,0.0,0,inf,inf,inf,inf
24,POR,1462.1691866954388,1249,0.0,0,inf,inf,inf,inf
23,PHX,1510.7026954677476,1221,0.0,0,inf,inf,inf,inf
22,PHI,1204.4414864660298,984,0.0,0,inf,inf,inf,inf
21,ORL,1355.4064528445476,1206,0.0,0,inf,inf,inf,inf
20,OKC,1224.0132418692526,1039,0.0,0,inf,inf,inf,inf
19,NYK,1258.242393438065,1085,0.0,0,inf,inf,inf,inf
18,NOP,1365.2375053458452,1067,0.0,0,inf,inf,inf,inf
17,MIN,1433.6999722011763,1162,0.0,0,inf,inf,inf,inf
16,MIL,1359.3318413782847,1059,0.0,0,inf,inf,inf,inf
15,MIA,1294.48056659236,1038,0.0,0,inf,inf,inf,inf
14,MEM,1402.6313297294898,1236,0.0,0,inf,inf,inf,inf
13,LAL,1450.6239601723873,1146,0.0,0,inf,inf,inf,inf
12,LAC,1397.351373313498,1078,0.0,0,inf,inf,inf,inf
11,IND,1386.2222949329316,1059,0.0,0,inf,inf,inf,inf
10,HOU,1235.4855384494829,1045,0.0,0,inf,inf,inf,inf
9,GSW,1458.6535999771074,1174,0.0,0,inf,inf,inf,inf
8,DET,1527.56488019783,1248,0.0,0,inf,inf,inf,inf
7,DEN,1298.8161561951267,1036,0.0,0,inf,inf,inf,inf
6,DAL,1338.4863659926036,1027,0.0,0,inf,inf,inf,inf
5,CLE,1442.2507435188068,1112,0.0,0,inf,inf,inf,inf
4,CHI,1290.3126824464043,1004,0.0,0,inf,inf,inf,inf
3,CHA,1397.3301956898,1129,0.0,0,inf,inf,inf,inf
2,BOS,1273.2341794423428,979,0.0,0,inf,inf,inf,inf
29,WAS,1428.5921526904224,1147,0.0,0,inf,inf,inf,inf
