,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1595.326467688465,1379,32556,1498.8,1.0644025004593443,4.900253310260674,0.9200693888444089,4.23577835114879
18,NOP,1476.8897930471153,1215,34188,1559.4,0.9470884911165289,4.3199069645697765,0.7791458253174297,3.5538785538785542
9,GSW,1489.0955546901791,1159,36476,1591.8,0.9354790518219495,4.082398165067932,0.7281065460484986,3.177431735935958
13,LAL,1523.4677983743982,1274,35821,1721.3999999999999,0.8850167296237936,4.253001865873086,0.7400952712908099,3.5565729599955334
23,PHX,1460.7988325862484,1279,34708,1722.5,0.8480689884390412,4.208824572393248,0.7425253991291727,3.6850293880373397
4,CHI,1310.4991654058265,1144,29143,1560.6000000000001,0.8397405904176768,4.496788818604215,0.7330513904908368,3.925470953573757
29,WAS,1405.9800032442497,1154,34562,1674.8,0.8394912844782958,4.067993759748422,0.689037497014569,3.3389271454198255
28,UTA,1347.9060419873854,1209,35080,1676.6,0.8039520708501643,3.842377542723448,0.7211022307049982,3.4464082098061573
12,LAC,1323.8666509965346,1182,35480,1677.3,0.7892843564040629,3.7313039768786207,0.7047039885530316,3.331454340473506
14,MEM,1231.1130955638168,1131,31961,1570.8,0.7837491059102476,3.8519229547380145,0.7200152788388082,3.538687775726667
2,BOS,1278.3105813364286,1052,34257,1642.8,0.7781291583494209,3.7315310194600477,0.6403700998295593,3.070905216452112
20,OKC,1232.4148926368166,1145,31295,1596.1000000000001,0.7721414025667668,3.9380568545672365,0.7173735981454795,3.6587314267454865
15,MIA,1265.2868306458388,1182,32967,1664.9,0.7599776747227093,3.838040557666269,0.7099525497026848,3.5854035854035855
1,BKN,1314.3007485365758,1229,35550,1748.6,0.7516303034064828,3.697048519090227,0.7028479926798582,3.457102672292546
10,HOU,1340.8970057771683,1094,31066,1800.7,0.7446531936342357,4.316284702817126,0.6075415116343644,3.521534796884053
19,NYK,1183.7923006446488,1127,32083,1603.9,0.7380711395003733,3.6897805711580864,0.7026622607394476,3.512763768974223
11,IND,1303.1055463144778,1107,36661,1768.4,0.7368839325460743,3.554473544950977,0.6259895951142275,3.0195575679877797
25,SAC,1294.0022106516715,1087,36776,1771.3,0.7305381418459163,3.5186050974865983,0.6136735730819173,2.9557319991298674
27,TOR,1329.5937464456413,1138,37255,1823.6,0.7291038311283403,3.5689001380905685,0.6240403597280105,3.054623540464367
6,DAL,1224.2041350004065,1150,32378,1681.2,0.7281728140616265,3.7809751528828413,0.6840352129431359,3.551794428315523
21,ORL,1212.4383906529597,1067,31661,1666.1,0.7277104559467977,3.8294380804553225,0.640417742032291,3.370076750576419
8,DET,1255.6926222278266,1119,33407,1733.0,0.7245773930916484,3.7587709828114666,0.6457010963646855,3.3495973897686113
26,SAS,1237.0048960416202,980,31987,1711.9,0.7225917962740932,3.8672113547429277,0.5724633448215433,3.063744646262544
22,PHI,1345.2968507010016,1210,38531,1902.8,0.7070090659559605,3.4914662238223806,0.6359049821315955,3.140328566608705
5,CLE,1193.588861862587,1106,30867,1689.4,0.7065164329718165,3.86687680002134,0.654670297146916,3.5831146531894906
24,POR,1338.3839870858749,1135,36235,1939.7,0.689995353449438,3.6936221528518693,0.5851420322730319,3.132330619566717
17,MIN,1171.2048136885994,1074,34723,1727.9,0.6778197891594417,3.3729943083506595,0.6215637479020776,3.093050715663969
7,DEN,1171.0309178001569,1102,35778,1732.4,0.6759587380513489,3.273047453183959,0.6361117524821057,3.080105092514953
16,MIL,1285.9173573666133,1116,39296,1989.2,0.6464495060157919,3.2723874118653637,0.5610295596219586,2.839983713355049
3,CHA,1150.1549549651784,988,36655,1969.9,0.5838646403193961,3.137784626831751,0.5015483019442611,2.6954030827990727
