,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1687.7735611052929,1274,0.0,0,inf,inf,inf,inf
1,BKN,1684.8138038278696,1245,0.0,0,inf,inf,inf,inf
28,UTA,1613.4989739250773,1205,0.0,0,inf,inf,inf,inf
27,TOR,1417.7086906850477,1095,0.0,0,inf,inf,inf,inf
26,SAS,1425.3120330394706,1078,0.0,0,inf,inf,inf,inf
25,SAC,1475.7996815877455,1125,0.0,0,inf,inf,inf,inf
24,POR,1467.1270170371572,1109,0.0,0,inf,inf,inf,inf
23,PHX,1701.3915772858486,1289,0.0,0,inf,inf,inf,inf
22,PHI,1763.9297695174873,1353,0.0,0,inf,inf,inf,inf
21,ORL,1588.150669306338,1192,0.0,0,inf,inf,inf,inf
20,OKC,1451.8892936338425,1147,0.0,0,inf,inf,inf,inf
19,NYK,1608.0753338740767,1208,0.0,0,inf,inf,inf,inf
18,NOP,1729.6829073604886,1223,0.0,0,inf,inf,inf,inf
17,MIN,1455.0155132347024,1021,0.0,0,inf,inf,inf,inf
16,MIL,1584.9877906429804,1135,0.0,0,inf,inf,inf,inf
15,MIA,1504.9016805133438,1178,0.0,0,inf,inf,inf,inf
14,MEM,1631.0159939810617,1227,0.0,0,inf,inf,inf,inf
13,LAL,1732.2556197574243,1295,0.0,0,inf,inf,inf,inf
12,LAC,1722.3509435886717,1204,0.0,0,inf,inf,inf,inf
11,IND,1475.2198135401363,1088,0.0,0,inf,inf,inf,inf
10,HOU,1680.9405741350943,1135,0.0,0,inf,inf,inf,inf
9,GSW,1885.4736095579203,1265,0.0,0,inf,inf,inf,inf
8,DET,1429.8651553217733,1102,0.0,0,inf,inf,inf,inf
7,DEN,1795.7603242659086,1226,0.0,0,inf,inf,inf,inf
6,DAL,1343.155260994623,1007,0.0,0,inf,inf,inf,inf
5,CLE,1672.2692060144675,1126,0.0,0,inf,inf,inf,inf
4,CHI,1533.567849346216,1147,0.0,0,inf,inf,inf,inf
3,CHA,1405.9206665237946,1041,0.0,0,inf,inf,inf,inf
2,BOS,1595.4359636845857,1148,0.0,0,inf,inf,inf,inf
29,WAS,1595.8452848952297,1196,0.0,0,inf,inf,inf,inf
