,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1695.0386193857792,1251,0.0,0,inf,inf,inf,inf
1,BKN,1704.2436876799222,1191,0.0,0,inf,inf,inf,inf
28,UTA,1645.0594602427366,1200,0.0,0,inf,inf,inf,inf
27,TOR,1510.5971630769725,1159,0.0,0,inf,inf,inf,inf
26,SAS,1707.1904097466775,1180,0.0,0,inf,inf,inf,inf
25,SAC,1637.016197537466,1249,0.0,0,inf,inf,inf,inf
24,POR,1502.723901728578,1125,0.0,0,inf,inf,inf,inf
23,PHX,1685.0284560721811,1258,0.0,0,inf,inf,inf,inf
22,PHI,1764.9272060530939,1384,0.0,0,inf,inf,inf,inf
21,ORL,1580.2537896431095,1222,0.0,0,inf,inf,inf,inf
20,OKC,1702.9445528801814,1256,0.0,0,inf,inf,inf,inf
19,NYK,1490.9482341724067,1063,0.0,0,inf,inf,inf,inf
18,NOP,1590.890671053666,1129,0.0,0,inf,inf,inf,inf
17,MIN,1451.2268112790766,1142,0.0,0,inf,inf,inf,inf
16,MIL,1633.7312931948263,1238,0.0,0,inf,inf,inf,inf
15,MIA,1792.7419144987941,1212,0.0,0,inf,inf,inf,inf
14,MEM,1407.764827445968,1124,0.0,0,inf,inf,inf,inf
13,LAL,1794.7884708224192,1239,0.0,0,inf,inf,inf,inf
11,IND,1563.4776405012765,1237,0.0,0,inf,inf,inf,inf
10,HOU,1835.427903975604,1323,0.0,0,inf,inf,inf,inf
9,GSW,1729.5552619974178,1247,0.0,0,inf,inf,inf,inf
8,DET,1530.4789090986408,1193,0.0,0,inf,inf,inf,inf
7,DEN,1654.6744855666848,1305,0.0,0,inf,inf,inf,inf
6,DAL,1493.3329187214356,1110,0.0,0,inf,inf,inf,inf
5,CLE,1531.9255260814698,1163,0.0,0,inf,inf,inf,inf
4,CHI,1527.0558880286599,1223,0.0,0,inf,inf,inf,inf
2,BOS,1576.7652439852254,1261,0.0,0,inf,inf,inf,inf
29,WAS,1593.8660326890874,1204,0.0,0,inf,inf,inf,inf
3,CHA,0.0,1010,0.0,0,,,inf,inf
12,LAC,0.0,1136,0.0,0,,,inf,inf
