,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
20,OKC,1302.3651179419994,1149,25832,1303.6000000000001,0.9990527139782136,5.041673575185814,0.8814053390610616,4.447971508206875
9,GSW,1283.3045225587462,1080,29630,1326.8,0.9672177589378551,4.331098624902957,0.8139885438649382,3.644954438069524
10,HOU,1212.5458659023307,1045,26830,1347.2,0.9000488909607561,4.51936588111193,0.7756828978622328,3.894893775624301
18,NOP,1247.012701199436,1052,29721,1477.0,0.8442875431275801,4.19572928636128,0.7122545700744752,3.539584805356482
16,MIL,1222.0056062624162,995,28768,1458.8999999999999,0.8376212257607899,4.247794793737542,0.682020700527795,3.4587041156840934
29,WAS,1176.089930534378,1021,27718,1415.6,0.8308066759920727,4.243054803861671,0.7212489403786381,3.6835269499963923
12,LAC,1217.2653021809688,949,28613,1472.8,0.8264973534634498,4.254238640411591,0.644350896252037,3.3166742389822805
8,DET,1157.6557790907475,1051,28442,1411.1,0.8203924449654507,4.070233384047351,0.7448090142442066,3.6952394346389146
3,CHA,1239.9806075102292,1069,32100,1541.5,0.804398707434466,3.8628679361689384,0.6934803762568926,3.330218068535826
5,CLE,1223.9949128309725,1114,29699,1522.7,0.8038319516851464,4.12133375814328,0.7315951927497208,3.750968046062157
28,UTA,1181.6834169264844,1005,29723,1475.1,0.8010869886288959,3.975653254807672,0.6813097417124263,3.381219930693402
4,CHI,1312.1260999603053,1089,33728,1643.3999999999999,0.7984216258733755,3.890316947225763,0.6626506024096386,3.2287713472485766
2,BOS,1122.4691248354547,1012,27152,1410.2,0.7959644907356791,4.1340200531653455,0.7176287051482059,3.7271655863288156
1,BKN,1224.345671455875,962,30533,1540.1000000000001,0.7949780348392149,4.009909512513919,0.6246347639763651,3.150689418006747
21,ORL,1036.9763197048526,924,23357,1313.1,0.7897161828534405,4.439681122168312,0.7036783184829792,3.9559874983944856
14,MEM,1136.053276156724,942,28282,1442.3,0.787667805696959,4.0168774349647265,0.6531234833252444,3.330740400254579
11,IND,1151.6507800891673,951,31267,1490.5,0.7726607045214138,3.683278792622149,0.6380409258638041,3.0415453993027795
17,MIN,1154.2883873644946,1027,30304,1501.4,0.7688080374080821,3.809029789349573,0.6840282403090449,3.3889915522703276
22,PHI,1226.6978216901869,1040,32061,1597.7,0.7677898364462583,3.8261371188989326,0.6509357200976403,3.243816474844827
23,PHX,1132.6818626975005,902,29093,1500.5,0.7548696185921363,3.8933140710737995,0.6011329556814395,3.1004021585948514
25,SAC,1199.3689596934676,963,29383,1590.5,0.7540829674275181,4.081846508843438,0.6054699779943414,3.2774053023857332
13,LAL,1179.1194369881985,1078,33312,1606.0,0.7341964115742207,3.5396236701134685,0.6712328767123288,3.236071085494717
27,TOR,1100.5113717449492,939,30266,1502.0,0.7326973180725361,3.636130878692094,0.6251664447403462,3.1024912443005355
15,MIA,1133.1950073932505,992,29117,1581.5,0.7165317783074616,3.891867319412201,0.6272526082832753,3.40694439674417
24,POR,1044.3319913446123,799,25667,1487.5,0.7020719269543613,4.068773099094606,0.5371428571428571,3.1129465851092846
0,ATL,1092.0927348502667,941,29366,1591.6,0.6861603008609366,3.7189019098626526,0.5912289519979895,3.204386024654362
6,DAL,1036.0289306268508,857,28411,1521.1,0.6811050756865761,3.6465767858465057,0.5634080599566104,3.0164372954137484
19,NYK,1047.2792357386702,917,28423,1581.1,0.6623738130027641,3.6846189203767024,0.5799759660995509,3.22626042289695
7,DEN,1094.6101330110744,957,32159,1679.4,0.6517864314702122,3.4037443111137606,0.5698463737048945,2.975838800957741
26,SAS,954.8055147878409,814,27043,1499.6,0.6367067983381175,3.5306937647000733,0.5428114163777008,3.010021077543172
