,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
1,BKN,1437.42648767391,1153,29323,1362.4,1.0550693538416838,4.902044428175528,0.8463006459189665,3.9320669781400266
24,POR,1391.6013820093142,1187,29297,1551.3,0.8970549745434888,4.749979117347559,0.7651647005737124,4.051609379799979
10,HOU,1584.9663554170443,1351,32915,1835.9,0.8633184571147907,4.815331476278427,0.7358788605043848,4.104511620841562
26,SAS,1259.72196187422,1043,30005,1465.6,0.8595264477853575,4.198373477334511,0.7116539301310044,3.4760873187802037
25,SAC,1342.991428426481,1156,34505,1563.0,0.8592395575345367,3.892164696207741,0.7396033269353807,3.3502390957832198
9,GSW,1402.1524298648526,1221,34848,1632.3,0.8590041229338067,4.023623823074072,0.7480242602462783,3.5037878787878785
2,BOS,1287.592083114606,1118,31388,1538.7,0.8368051492263638,4.102179441552843,0.7265873789562618,3.561870778641519
17,MIN,1360.5518663851462,1175,33047,1645.2,0.8269826564461137,4.117020807895258,0.7141988815949428,3.5555421066965227
11,IND,1375.9616566510008,1183,32839,1679.2,0.819414993241425,4.190023011209235,0.7045021438780371,3.602423947136027
29,WAS,1258.5292053963365,1077,30620,1541.3,0.8165374718720149,4.110154165239505,0.6987607863491858,3.517308948399739
13,LAL,1420.2024057041938,1191,33063,1759.6,0.8071166206548044,4.295443261967135,0.6768583769038418,3.602213955176482
3,CHA,1313.54935800892,1087,35376,1631.3,0.8052163047930608,3.7131087686819315,0.6663397290504506,3.072704658525554
15,MIA,1383.646614557244,1194,34169,1747.4,0.7918316439036533,4.049420862645216,0.6833009042005265,3.4943955046972404
4,CHI,1301.1360368157177,1053,31168,1667.2,0.7804318838865869,4.174589440502174,0.6315978886756238,3.378465092402464
16,MIL,1274.4406064122259,1100,31812,1653.2,0.7708931807477776,4.006163103269916,0.6653762400193564,3.4578146611341634
18,NOP,1248.3179664335937,1153,32706,1624.3,0.7685267293194569,3.816785808211318,0.7098442405959491,3.5253470311257877
8,DET,1257.9976737423358,1163,33037,1662.2,0.7568269003383081,3.8078447611536634,0.699675129346649,3.520295426340164
23,PHX,1314.6947090473416,1060,32828,1757.8999999999999,0.7478779845539233,4.0047968473478175,0.6029922066101598,3.2289508955769466
7,DEN,1315.6846217973964,1189,36625,1762.2,0.7466148120516379,3.592312960538966,0.6747247758483713,3.2464163822525602
21,ORL,1247.1389339440746,1188,32834,1679.3,0.7426540427226074,3.798315569056693,0.7074376228190318,3.618200645672169
12,LAC,1328.10037221242,1126,34884,1794.8,0.7399712347963117,3.8071906094840617,0.6273679518609316,3.227840843939915
20,OKC,1231.80009840076,1145,34443,1680.1,0.7331707031728826,3.5763438097748743,0.6815070531515982,3.324332955898151
14,MEM,1215.6113489274585,1082,32347,1671.3,0.7273447908379457,3.758034281161958,0.6474002273679172,3.3449778959408913
0,ATL,1203.3071307782398,972,29889,1655.8,0.7267225092271046,4.025919672047375,0.5870274187703829,3.2520325203252036
28,UTA,1269.8396025245863,1148,34852,1879.1,0.6757701040522518,3.643520034788782,0.6109307647277953,3.293928612418225
5,CLE,1356.7523129945478,1181,37748,2030.3,0.6682521366273693,3.5942362853516685,0.5816874353543812,3.128642577090177
27,TOR,1138.5198785652979,1021,34656,1773.0,0.6421431915201905,3.285202789027291,0.5758601240834743,2.9460987996306556
19,NYK,1114.9169696706315,1087,33108,1772.7,0.6289371973095456,3.3675153125245605,0.6131889208551926,3.283194394104144
22,PHI,1225.648834895043,1027,35132,1998.3,0.6133457613446645,3.4886964445378656,0.5139368463193715,2.923260844813845
6,DAL,1176.052630853061,1025,34272,2009.0,0.5853920511961478,3.431526117101601,0.5102040816326531,2.99077964519141
