team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
BOS,1627759,Brown,Palming Turnover,1,605.0,21700001,26,0,10.5,CLE,1
CLE,201565,Rose,Lost Ball,1,469.0,21700001,51,2,13.5,BOS,0
CLE,2548,Wade,Traveling,1,419.0,21700001,66,2,17.0,BOS,1
BOS,1627759,Brown,Step Out of Bounds Turnover,1,370.0,21700001,74,0,11.0,CLE,1
BOS,203382,Baynes,Lost Ball,1,161.0,21700001,116,2,1.0,CLE,0
BOS,1610612738,,Shot Clock Turnover,1,100.0,21700001,159,3,0.0,CLE,1
CLE,201145,Green,Offensive Foul Turnover,1,66.0,21700001,150,2,17.0,BOS,1
BOS,203935,Smart,Offensive Foul Turnover,2,648.0,21700001,186,0,14.0,CLE,1
BOS,1610612738,,Shot Clock Turnover,2,545.0,21700001,211,0,0.0,CLE,1
CLE,2544,James,Out of Bounds Lost Ball Turnover,2,536.0,21700001,212,0,15.0,BOS,1
CLE,201567,Love,Bad Pass,2,514.0,21700001,215,3,20.0,BOS,0
BOS,202681,Irving,Bad Pass,2,469.0,21700001,230,0,0.0,CLE,0
BOS,1627759,Brown,Out of Bounds Lost Ball Turnover,2,330.0,21700001,268,0,22.0,CLE,1
CLE,203109,Crowder,Lost Ball,2,123.0,21700001,309,0,9.0,BOS,0
CLE,201565,Rose,Bad Pass,3,689.0,21700001,341,2,12.0,BOS,0
CLE,2548,Wade,Bad Pass,3,680.0,21700001,347,2,20.5,BOS,0
CLE,2548,Wade,Bad Pass,3,517.0,21700001,384,2,9.5,BOS,0
CLE,2548,Wade,Bad Pass,3,495.0,21700001,389,2,8.5,BOS,0
CLE,2544,James,Offensive Foul Turnover,3,442.0,21700001,401,0,21.0,BOS,1
BOS,203935,Smart,Out of Bounds - Bad Pass Turnover,3,357.0,21700001,415,0,17.0,CLE,1
CLE,2544,James,Bad Pass,3,240.0,21700001,448,3,19.0,BOS,0
BOS,202681,Irving,Bad Pass,3,200.0,21700001,455,0,8.0,CLE,0
CLE,202684,Thompson,Bad Pass,3,192.0,21700001,467,0,16.0,BOS,0
BOS,203382,Baynes,Offensive Foul Turnover,3,142.0,21700001,483,0,14.0,CLE,1
CLE,202684,Thompson,Offensive Foul Turnover,3,130.0,21700001,488,2,14.0,BOS,1
CLE,2544,James,Bad Pass,4,325.0,21700001,602,0,19.0,BOS,0
CLE,202697,Shumpert,Bad Pass,4,311.0,21700001,606,2,14.0,BOS,0
CLE,201567,Love,Out of Bounds Lost Ball Turnover,4,298.0,21700001,612,0,11.0,BOS,1
BOS,1628369,Tatum,Out of Bounds - Bad Pass Turnover,4,64.0,21700001,654,3,9.0,CLE,1
HOU,201935,Harden,Bad Pass,1,663.0,21700002,16,0,22.0,GSW,0
GSW,201142,Durant,Offensive Foul Turnover,1,564.0,21700002,41,0,24.0,HOU,1
HOU,203991,Capela,Lost Ball,1,520.0,21700002,46,0,6.5,GSW,0
HOU,203991,Capela,Traveling,1,461.0,21700002,66,0,18.5,GSW,1
GSW,1628395,Bell,Bad Pass,1,322.0,21700002,100,2,21.0,HOU,0
