,team,player_id,player,TOI,TOs,PLAYER_ID,GP,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,201988,Mills,7.161028183998091,8,201988,32,515,19.1,0.37492294157058065,1.3904909095141926,0.41884816753926696,1.5533980582524272
1,ATL,202083,Matthews,10.563811290615073,8,202083,36,515,12.2,0.8658861713618913,2.051225493323315,0.6557377049180328,1.5533980582524272
2,ATL,203991,Capela,89.26404971454609,74,203991,73,2254,51.2,1.7434384709872282,3.960250652819259,1.4453125,3.2830523513753325
3,ATL,203992,Bogdanović,138.88354843202097,112,203992,79,3757,145.4,0.9551825889409971,3.6966608579191105,0.7702888583218707,2.9811019430396595
4,ATL,1627749,Murray,256.47591611286555,201,1627749,78,6341,502.6,0.5102982811636799,4.044723483880548,0.39992041384799043,3.1698470272827626
5,ATL,1628981,Fernando,56.14765389289357,44,1628981,45,890,21.5,2.61151878571598,6.308725156504896,2.046511627906977,4.943820224719101
6,ATL,1629027,Young,307.55164372316364,235,1629027,54,4617,447.5,0.6872662429567903,6.661287496711362,0.5251396648044693,5.089885206844271
7,ATL,1629631,Hunter,99.78987557255796,83,1629631,57,2480,79.6,1.2536416529215826,4.023785305345079,1.042713567839196,3.3467741935483875
8,ATL,1629685,Windler,2.468631261030678,2,1629685,17,137,3.7,0.6671976381163994,1.8019206284895462,0.5405405405405405,1.4598540145985401
9,ATL,1629726,Mathews,22.882540405687593,19,1629726,66,922,20.3,1.127218739196433,2.4818373541960512,0.9359605911330049,2.0607375271149677
10,ATL,1630168,Okongwu,53.228676012908984,45,1630168,55,1565,31.7,1.6791380445712614,3.4011933554574427,1.4195583596214512,2.8753993610223643
11,ATL,1630180,Bey,67.58983702487804,54,1630180,63,2522,67.9,0.9954320622220623,2.680009398290168,0.7952871870397643,2.141157811260904
12,ATL,1630235,Forrest,26.607673923987406,20,1630235,38,863,79.6,0.3342672603516006,3.083160361991588,0.2512562814070352,2.317497103128621
13,ATL,1630249,Krejčí,28.63066908328288,20,1630249,22,633,22.3,1.2838865059768108,4.523012493409617,0.8968609865470851,3.15955766192733
14,ATL,1630552,Johnson,126.80302446398248,101,1630552,56,3902,134.4,0.9434748844046316,3.249693092362442,0.7514880952380952,2.5884161968221426
15,ATL,1631100,Griffin,8.651734031751667,8,1631100,20,169,5.6,1.5449525056699407,5.1193692495572,1.4285714285714286,4.733727810650888
16,ATL,1631243,Gueye,3.1449749711746797,1,1631243,6,125,3.0,1.04832499039156,2.515979976939744,0.3333333333333333,0.8
17,ATL,1641723,Bufkin,9.95073697896573,10,1641723,17,414,34.7,0.28676475443705274,2.4035596567550077,0.2881844380403458,2.4154589371980677
18,ATL,1641754,Lundy,2.1306322496958394,1,1641754,9,53,1.5,1.4204214997972262,4.020060848482716,0.6666666666666666,1.8867924528301887
19,BKN,203471,Schröder,82.38252831385688,70,203471,79,5934,469.3,0.1755434227868248,1.3883135880326403,0.14915832090347325,1.1796427367711493
