team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
PHI,1627732,Simmons,Bad Pass,1,668.0,21800001,12,0,19.0,BOS,0
BOS,202681,Irving,Step Out of Bounds Turnover,1,595.0,21800001,31,0,21.0,PHI,1
PHI,203967,Šarić,3 Second Violation,1,434.0,21800001,58,0,14.5,BOS,1
PHI,203496,Covington,Bad Pass,1,402.0,21800001,71,2,15.0,BOS,0
PHI,1627732,Simmons,Offensive Foul Turnover,1,359.0,21800001,83,2,15.5,BOS,1
PHI,203954,Embiid,Out of Bounds - Bad Pass Turnover,1,163.0,21800001,139,0,16.5,BOS,1
PHI,203967,Šarić,Out of Bounds Lost Ball Turnover,1,144.0,21800001,142,0,16.0,BOS,1
BOS,202694,Morris Sr.,Out of Bounds - Bad Pass Turnover,1,114.0,21800001,147,0,20.0,PHI,1
BOS,203935,Smart,Bad Pass,1,54.8,21800001,158,2,10.299999999999995,PHI,0
PHI,203954,Embiid,Bad Pass,2,686.0,21800001,177,2,2.5,BOS,0
PHI,1628365,Fultz,Offensive Goaltending,2,611.0,21800001,241,0,9.0,BOS,1
PHI,203954,Embiid,Bad Pass,2,585.0,21800001,204,2,16.0,BOS,0
BOS,203382,Baynes,Offensive Foul Turnover,2,499.0,21800001,224,0,14.0,PHI,1
BOS,201143,Horford,Bad Pass,2,377.0,21800001,252,0,4.5,PHI,0
BOS,1627759,Brown,Bad Pass,2,214.0,21800001,296,2,15.0,PHI,0
PHI,203496,Covington,Bad Pass,2,96.0,21800001,314,0,22.0,BOS,0
PHI,203954,Embiid,Out of Bounds - Bad Pass Turnover,2,78.0,21800001,320,2,13.0,BOS,1
BOS,1627759,Brown,Bad Pass,3,606.0,21800001,373,0,10.0,PHI,0
PHI,203967,Šarić,Offensive Foul Turnover,3,577.0,21800001,384,0,14.0,BOS,1
BOS,202681,Irving,Lost Ball,3,461.0,21800001,403,3,17.5,PHI,0
BOS,201143,Horford,Bad Pass,3,332.0,21800001,424,0,8.5,PHI,0
BOS,201143,Horford,Lost Ball,3,243.0,21800001,446,0,5.5,PHI,0
PHI,1628365,Fultz,Bad Pass,3,130.0,21800001,478,2,17.0,BOS,0
PHI,1628365,Fultz,Traveling,3,39.8,21800001,507,2,18.199999999999996,BOS,1
PHI,203954,Embiid,Offensive Foul Turnover,4,585.0,21800001,550,0,21.0,BOS,1
BOS,202681,Irving,Out of Bounds - Bad Pass Turnover,4,478.0,21800001,572,2,14.0,PHI,1
PHI,1627732,Simmons,Bad Pass,4,384.0,21800001,592,0,13.5,BOS,0
BOS,1628369,Tatum,Bad Pass,4,346.0,21800001,665,1,11.0,PHI,0
BOS,1610612738,,Shot Clock Turnover,4,320.0,21800001,621,0,0.0,PHI,1
BOS,203935,Smart,Out of Bounds - Bad Pass Turnover,4,218.0,21800001,642,0,24.0,PHI,1
BOS,1626179,Rozier,Bad Pass,4,54.6,21800001,696,0,18.800000000000004,PHI,0
GSW,202691,Thompson,Bad Pass,1,708.0,21800002,7,0,12.0,OKC,0
OKC,202331,George,Out of Bounds - Bad Pass Turnover,1,703.0,21800002,9,3,19.0,GSW,1
GSW,203110,Green,Out of Bounds Lost Ball Turnover,1,618.0,21800002,22,3,21.0,OKC,1
GSW,201939,Curry,Bad Pass,1,547.0,21800002,42,0,20.0,OKC,0
OKC,203500,Adams,Bad Pass,1,542.0,21800002,44,3,19.0,GSW,0
GSW,203110,Green,Bad Pass,1,458.0,21800002,62,0,19.0,OKC,0
OKC,203471,Schröder,Out of Bounds - Bad Pass Turnover,1,435.0,21800002,71,0,14.0,GSW,1
OKC,202335,Patterson,Bad Pass,1,291.0,21800002,107,0,12.0,GSW,0
GSW,201142,Durant,Bad Pass,1,283.0,21800002,109,1,16.0,OKC,0
OKC,203471,Schröder,Out of Bounds - Bad Pass Turnover,1,188.0,21800002,140,3,14.5,GSW,1
GSW,1626172,Looney,Out of Bounds - Bad Pass Turnover,1,30.3,21800002,179,0,12.599999999999998,OKC,1
GSW,203110,Green,Bad Pass,2,631.0,21800002,209,2,18.0,OKC,0
GSW,202691,Thompson,Offensive Foul Turnover,2,619.0,21800002,215,2,17.5,OKC,1
OKC,101109,Felton,Lost Ball,2,578.0,21800002,220,0,22.0,GSW,0
GSW,1626188,Cook,Bad Pass,2,461.0,21800002,760,2,13.0,OKC,0
GSW,2733,Livingston,Offensive Foul Turnover,2,288.0,21800002,305,0,14.0,OKC,1
GSW,201142,Durant,Bad Pass,2,252.0,21800002,318,0,16.0,OKC,0
OKC,202331,George,Lost Ball,2,244.0,21800002,320,0,16.0,GSW,0
