,TEAM_ID,TEAM_NAME,Total_POSS,Total_PTS,PPP,SC_REMAINING,SCALED_PPP
56,1610612762,Utah Jazz,8153.0,5717.0,0.7012142769532688,22-18,1.20326478501966
57,1610612763,Memphis Grizzlies,8486.0,6318.0,0.7445203865189725,22-18,1.2775769009152793
58,1610612764,Washington Wizards,7889.0,5369.0,0.6805678793256433,22-18,1.1678361235971106
59,1610612765,Detroit Pistons,7989.0,5956.0,0.7455250970083865,22-18,1.2793009570145142
60,1610612766,Charlotte Hornets,7978.0,5330.0,0.6680872399097518,22-18,1.1464196830064814
61,0,Overall,7979.933333333333,5855.633333333333,0.7341767993166868,22-18,1.2598275842793323
62,1610612737,Atlanta Hawks,6713.0,4768.0,0.7102636675108,18-15,1.2187932951222749
63,1610612738,Boston Celtics,6533.0,5171.0,0.7915199755089546,18-15,1.3582269278767414
64,1610612739,Cleveland Cavaliers,6926.0,5499.0,0.7939647704302628,18-15,1.36242213001693
65,1610612740,New Orleans Pelicans,6778.0,4620.0,0.6816169961640602,18-15,1.1696363797934377
66,1610612741,Chicago Bulls,6449.0,4859.0,0.7534501473096604,18-15,1.29290012956483
67,1610612742,Dallas Mavericks,6900.0,5084.0,0.7368115942028985,18-15,1.2643488212343232
68,1610612743,Denver Nuggets,7039.0,5048.0,0.717147322062793,18-15,1.2306054606569556
69,1610612744,Golden State Warriors,6894.0,4833.0,0.7010443864229765,18-15,1.2029732574522276
70,1610612745,Houston Rockets,6989.0,4782.0,0.6842180569466304,18-15,1.1740997299365081
71,1610612746,LA Clippers,6644.0,4651.0,0.7000301023479831,18-15,1.2012327733383723
72,1610612747,Los Angeles Lakers,6350.0,4573.0,0.7201574803149606,18-15,1.2357708110230479
73,1610612748,Miami Heat,6665.0,4780.0,0.7171792948237059,18-15,1.2306603250522636
74,1610612749,Milwaukee Bucks,6574.0,5111.0,0.7774566473988439,18-15,1.3340946361775508
75,1610612750,Minnesota Timberwolves,7188.0,5304.0,0.7378964941569283,18-15,1.2662104802918448
76,1610612751,Brooklyn Nets,6607.0,4396.0,0.6653549265930074,18-15,1.1417311070551137
77,1610612752,New York Knicks,6625.0,4982.0,0.752,18-15,1.2904117158970607
78,1610612753,Orlando Magic,7156.0,4460.0,0.6232532140860816,18-15,1.0694857040255035
79,1610612754,Indiana Pacers,6217.0,4748.0,0.7637124014798135,18-15,1.3105098809114775
80,1610612755,Philadelphia 76ers,6687.0,4672.0,0.6986690593689248,18-15,1.198897260298457
81,1610612756,Phoenix Suns,7029.0,5142.0,0.7315407597097738,18-15,1.2553042114171924
82,1610612757,Portland Trail Blazers,6908.0,4801.0,0.694991314418066,18-15,1.192586349164588
83,1610612758,Sacramento Kings,6631.0,4995.0,0.7532800482581813,18-15,1.2926082441806654
84,1610612759,San Antonio Spurs,6509.0,4765.0,0.7320632969734214,18-15,1.2562008712669313
85,1610612760,Oklahoma City Thunder,6771.0,5239.0,0.7737409540688229,18-15,1.3277186066486417
86,1610612761,Toronto Raptors,6500.0,4501.0,0.6924615384615385,18-15,1.1882453218602025
87,1610612762,Utah Jazz,7018.0,4808.0,0.6850954687945283,18-15,1.1756053450005963
88,1610612763,Memphis Grizzlies,6883.0,4897.0,0.7114630248438181,18-15,1.2208513599548196
89,1610612764,Washington Wizards,6549.0,4295.0,0.655825316842266,18-15,1.1253785537701622
90,1610612765,Detroit Pistons,6593.0,4747.0,0.7200060670408008,18-15,1.235510989928742
