team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
ATL,203145,Bazemore,Out of Bounds - Bad Pass Turnover,1,697.0,21500001,4,2,22.0,DET,1
DET,101141,Ilyasova,Out of Bounds Lost Ball Turnover,1,548.0,21500001,25,0,21.0,ATL,1
ATL,201952,Teague,Lost Ball,1,454.0,21500001,42,2,18.0,DET,0
ATL,201952,Teague,Traveling,1,310.0,21500001,67,0,20.0,DET,1
ATL,203471,Schröder,Bad Pass,1,201.0,21500001,87,0,14.5,DET,0
DET,203484,Caldwell-Pope,Lost Ball,1,198.0,21500001,88,2,21.0,ATL,0
DET,203484,Caldwell-Pope,Traveling,1,121.0,21500001,99,2,16.0,ATL,1
DET,1626169,Johnson,Bad Pass,1,43.9,21500001,109,3,2.3999999999999986,ATL,0
DET,203382,Baynes,Poss Lost Ball Turnover,1,19.9,21500001,111,0,11.9,ATL,1
DET,2581,Blake,Bad Pass,2,658.0,21500001,127,0,12.5,ATL,0
DET,101141,Ilyasova,Lost Ball,2,639.0,21500001,131,3,15.0,ATL,0
ATL,203145,Bazemore,Foul,2,541.0,21500001,148,3,14.0,DET,1
DET,2581,Blake,Bad Pass,2,370.0,21500001,179,2,15.0,ATL,0
DET,203083,Drummond,Foul,2,347.0,21500001,182,0,14.0,ATL,1
ATL,200794,Millsap,Out of Bounds - Bad Pass Turnover,2,330.0,21500001,191,0,7.0,DET,1
ATL,200794,Millsap,Traveling,2,301.0,21500001,194,3,14.0,DET,1
DET,202704,Jackson,Lost Ball,2,145.0,21500001,216,0,11.5,ATL,0
ATL,201952,Teague,Out of Bounds - Bad Pass Turnover,2,125.0,21500001,224,2,4.0,DET,1
DET,203083,Drummond,3 Second Violation,3,702.0,21500001,243,0,15.0,ATL,1
ATL,201952,Teague,Bad Pass,3,667.0,21500001,250,0,18.0,DET,0
ATL,201143,Horford,Out of Bounds Lost Ball Turnover,3,532.0,21500001,268,2,11.5,DET,1
ATL,2594,Korver,Step Out of Bounds Turnover,3,384.0,21500001,290,0,15.0,DET,1
DET,101141,Ilyasova,Out of Bounds - Bad Pass Turnover,3,375.0,21500001,293,3,15.0,ATL,1
ATL,201952,Teague,Lost Ball,3,331.0,21500001,297,0,18.5,DET,0
DET,2581,Blake,Lost Ball,4,677.0,21500001,366,2,14.5,ATL,0
ATL,203145,Bazemore,Foul,4,650.0,21500001,374,0,16.5,DET,1
ATL,203488,Muscala,Foul,4,616.0,21500001,380,0,14.0,DET,1
ATL,203145,Bazemore,Lost Ball,4,590.0,21500001,387,2,13.0,DET,0
DET,201975,Meeks,Out of Bounds Lost Ball Turnover,4,494.0,21500001,398,0,17.0,ATL,1
DET,202704,Jackson,Lost Ball,4,172.0,21500001,476,2,14.0,ATL,0
CLE,202389,Mozgov,Lost Ball,1,444.0,21500002,40,0,11.0,CHI,0
CHI,202703,Mirotic,Bad Pass,1,272.0,21500002,102,0,21.0,CLE,0
CLE,202684,Thompson,Poss Lost Ball Turnover,1,272.0,21500002,103,2,24.0,CHI,1
CHI,201149,Noah,3 Second Violation,1,66.0,21500002,132,0,12.5,CLE,1
CLE,203521,Dellavedova,Lost Ball,1,48.9,21500002,135,2,6.899999999999999,CHI,0
CHI,202703,Mirotic,Lost Ball,2,433.0,21500002,204,2,12.0,CLE,0
CLE,202389,Mozgov,Lane Violation,2,383.0,21500002,217,0,14.0,CHI,1
CHI,202703,Mirotic,Foul,2,373.0,21500002,219,0,14.0,CLE,1
CHI,202703,Mirotic,Foul,2,352.0,21500002,224,3,17.0,CLE,1
CHI,203503,Snell,Lost Ball,2,225.0,21500002,250,2,12.0,CLE,0
CHI,201959,Gibson,Bad Pass,2,108.0,21500002,277,2,18.0,CLE,0
CHI,201565,Rose,Bad Pass,3,675.0,21500002,296,0,3.5,CLE,0
CLE,2544,James,Bad Pass,3,671.0,21500002,297,2,20.0,CHI,0
CLE,201567,Love,Bad Pass,3,513.0,21500002,319,3,12.0,CHI,0
CLE,202389,Mozgov,3 Second Violation,3,422.0,21500002,335,0,0.0,CHI,1
CHI,201565,Rose,Out of Bounds - Bad Pass Turnover,3,406.0,21500002,339,2,14.0,CLE,1
CHI,201166,Brooks,Bad Pass,3,274.0,21500002,363,2,15.0,CLE,0
CHI,201959,Gibson,Foul,3,119.0,21500002,387,2,14.0,CLE,1
CHI,201166,Brooks,Bad Pass,3,1.0,21500002,411,0,4.300000000000001,CLE,0
CLE,1610612739,,Shot Clock Turnover,4,569.0,21500002,442,2,0.0,CHI,1
CLE,2210,Jefferson,Out of Bounds - Bad Pass Turnover,4,533.0,21500002,444,0,1.5,CHI,1
CHI,201959,Gibson,Foul,4,220.0,21500002,513,0,14.0,CLE,1
CLE,201567,Love,Step Out of Bounds Turnover,4,109.0,21500002,531,2,16.0,CHI,1
CLE,2590,Williams,Bad Pass,4,1.9,21500002,559,0,15.9,CHI,0
GSW,201939,Curry,Out of Bounds - Bad Pass Turnover,1,607.0,21500003,12,3,23.5,NOP,1
NOP,202397,Smith,Bad Pass,1,437.0,21500003,35,2,14.5,GSW,0
NOP,203076,Davis,Traveling,1,391.0,21500003,39,2,12.5,GSW,1
NOP,201569,Gordon,Out of Bounds Lost Ball Turnover,1,270.0,21500003,65,2,16.0,GSW,1
NOP,201569,Gordon,Bad Pass,1,248.0,21500003,67,3,16.5,GSW,0
GSW,2571,Barbosa,Out of Bounds - Bad Pass Turnover,1,111.0,21500003,102,0,16.5,NOP,1
GSW,203949,McAdoo,Foul,1,16.2,21500003,125,2,14.0,NOP,1
GSW,2571,Barbosa,Bad Pass,2,666.0,21500003,136,2,12.0,NOP,0
GSW,201578,Speights,Lost Ball,2,642.0,21500003,138,2,9.5,NOP,0
GSW,202691,Thompson,Bad Pass,2,556.0,21500003,160,0,23.0,NOP,0
NOP,202087,Gee,Foul,2,553.0,21500003,162,0,21.0,GSW,1
GSW,202691,Thompson,Foul,2,489.0,21500003,181,2,24.0,NOP,1
GSW,2571,Barbosa,Bad Pass,2,456.0,21500003,183,2,12.5,NOP,0
GSW,203110,Green,Bad Pass,2,424.0,21500003,196,0,12.0,NOP,0
NOP,203076,Davis,Traveling,2,353.0,21500003,210,3,15.0,GSW,1
NOP,201569,Gordon,Traveling,2,283.0,21500003,227,2,13.0,GSW,1
GSW,201939,Curry,Out of Bounds - Bad Pass Turnover,2,164.0,21500003,247,3,16.0,NOP,1
NOP,203076,Davis,Foul,3,618.0,21500003,300,0,20.0,GSW,1
GSW,202691,Thompson,Bad Pass,3,570.0,21500003,309,2,7.5,NOP,0
GSW,2738,Iguodala,Lost Ball,3,264.0,21500003,378,2,19.0,NOP,0
GSW,202691,Thompson,Bad Pass,3,249.0,21500003,384,0,13.0,NOP,0
GSW,202691,Thompson,Foul,3,234.0,21500003,388,0,18.0,NOP,1
NOP,201583,Anderson,Out of Bounds Lost Ball Turnover,3,223.0,21500003,391,3,13.0,GSW,1
NOP,1610612740,,Shot Clock Turnover,3,136.0,21500003,416,3,0.0,GSW,1
GSW,203084,Barnes,Foul,3,48.9,21500003,445,2,15.1,NOP,1
NOP,201583,Anderson,Foul,4,702.0,21500003,457,2,14.0,GSW,1
NOP,201582,Ajinca,Bad Pass,4,669.0,21500003,459,2,6.5,GSW,0
GSW,201578,Speights,Foul,4,607.0,21500003,467,0,17.0,NOP,1
NOP,202087,Gee,Traveling,4,594.0,21500003,468,0,11.0,GSW,1
NOP,203076,Davis,Lost Ball,4,523.0,21500003,485,0,6.0,GSW,0
GSW,202691,Thompson,Foul,4,476.0,21500003,502,0,14.0,NOP,1
NOP,202397,Smith,Lost Ball,4,376.0,21500003,515,0,9.0,GSW,0
GSW,203105,Ezeli,Foul,4,367.0,21500003,518,0,15.0,NOP,1
NOP,203076,Davis,Foul,4,361.0,21500003,520,0,18.0,GSW,1
NOP,201569,Gordon,Bad Pass,4,334.0,21500003,523,0,17.0,GSW,0
GSW,202691,Thompson,Lost Ball,4,260.0,21500003,537,2,8.5,NOP,0
NOP,201583,Anderson,Lost Ball,4,130.0,21500003,554,0,5.0,GSW,0
NOP,202087,Gee,Bad Pass,4,83.0,21500003,567,0,16.0,GSW,0
GSW,203949,McAdoo,Foul,4,80.0,21500003,569,2,21.0,NOP,1
WAS,203078,Beal,Out of Bounds - Bad Pass Turnover,1,701.0,21500004,2,0,5.0,ORL,1
WAS,203078,Beal,Kicked Ball Violation,1,674.0,21500004,5,2,13.0,ORL,1
WAS,2743,Humphries,Out of Bounds - Bad Pass Turnover,1,648.0,21500004,8,0,16.5,ORL,1
ORL,203901,Payton,Bad Pass,1,481.0,21500004,31,0,5.5,WAS,0
ORL,203095,Fournier,Lost Ball,1,358.0,21500004,54,0,12.5,WAS,0
ORL,1626209,Hezonja,Bad Pass,1,136.0,21500004,96,0,9.5,WAS,0
ORL,1626209,Hezonja,Bad Pass,1,103.0,21500004,107,0,9.0,WAS,0
WAS,202322,Wall,Bad Pass,2,621.0,21500004,151,0,19.5,ORL,0
ORL,202696,Vučević,Foul,2,468.0,21500004,192,0,14.0,WAS,1
WAS,202322,Wall,Lost Ball,2,356.0,21500004,211,0,20.0,ORL,0
WAS,101162,Gortat,Traveling,2,270.0,21500004,228,0,19.0,ORL,1
ORL,1610612753,,Shot Clock Turnover,2,245.0,21500004,231,0,0.0,WAS,1
WAS,202322,Wall,Out of Bounds - Bad Pass Turnover,2,229.0,21500004,232,2,8.0,ORL,1
WAS,202322,Wall,Lost Ball,2,1.9,21500004,292,0,3.0,ORL,0
ORL,1626209,Hezonja,Bad Pass,3,606.0,21500004,317,2,13.0,WAS,0
ORL,202696,Vučević,Bad Pass,3,497.0,21500004,336,0,21.0,WAS,0
ORL,203901,Payton,Step Out of Bounds Turnover,3,484.0,21500004,341,0,15.0,WAS,1
WAS,203490,Porter Jr.,Bad Pass,3,449.0,21500004,349,2,18.0,ORL,0
WAS,202322,Wall,Bad Pass,3,428.0,21500004,353,0,13.5,ORL,0
ORL,201228,Watson,Traveling,3,421.0,21500004,354,0,17.0,WAS,1
WAS,101162,Gortat,Bad Pass,3,408.0,21500004,355,0,11.0,ORL,0
WAS,2743,Humphries,Traveling,3,354.0,21500004,366,0,2.5,ORL,1
ORL,202699,Harris,Foul,3,345.0,21500004,368,0,15.0,WAS,1
WAS,1610612764,,Shot Clock Turnover,3,320.0,21500004,372,0,0.0,ORL,1
WAS,203078,Beal,Step Out of Bounds Turnover,3,200.0,21500004,389,3,14.0,ORL,1
WAS,2403,Hilario,Lost Ball,4,688.0,21500004,431,2,8.0,ORL,0
WAS,202322,Wall,Bad Pass,4,589.0,21500004,449,0,7.0,ORL,0
ORL,203473,Dedmon,Illegal Assist Turnover,4,584.0,21500004,451,3,19.0,WAS,1
WAS,2743,Humphries,Out of Bounds - Bad Pass Turnover,4,520.0,21500004,466,2,13.0,ORL,1
ORL,202699,Harris,Lost Ball,4,379.0,21500004,494,3,11.0,WAS,0
ORL,203506,Oladipo,Bad Pass,4,354.0,21500004,496,2,9.5,WAS,0
ORL,1610612753,,Shot Clock Turnover,4,213.0,21500004,521,2,0.0,WAS,1
WAS,203078,Beal,Bad Pass,4,167.0,21500004,528,2,6.5,ORL,0
ORL,1626209,Hezonja,Out of Bounds Lost Ball Turnover,4,37.7,21500004,563,0,11.700000000000005,WAS,1
PHI,1610612755,,Shot Clock Turnover,1,686.0,21500005,9,0,0.0,BOS,1
BOS,203092,Zeller,Foul,1,621.0,21500005,16,2,18.5,PHI,1
BOS,203109,Crowder,Bad Pass,1,567.0,21500005,27,2,12.0,PHI,0
PHI,1626143,Okafor,Lost Ball,1,247.0,21500005,73,2,2.0,BOS,0
PHI,203477,Canaan,Bad Pass,1,202.0,21500005,83,2,19.0,BOS,0
BOS,202323,Turner,Bad Pass,1,124.0,21500005,106,0,21.0,PHI,0
PHI,203477,Canaan,Out of Bounds - Bad Pass Turnover,1,28.9,21500005,116,0,1.1000000000000014,BOS,1
PHI,1626143,Okafor,Bad Pass,2,704.0,21500005,126,2,8.0,BOS,0
BOS,203096,Sullinger,Bad Pass,2,630.0,21500005,137,0,11.5,PHI,0
PHI,203960,Sampson,Bad Pass,2,624.0,21500005,138,0,18.0,BOS,0
PHI,1626143,Okafor,Out of Bounds - Bad Pass Turnover,2,588.0,21500005,145,1,0.0,BOS,1
PHI,203138,Thompson,Out of Bounds - Bad Pass Turnover,2,545.0,21500005,162,2,4.0,BOS,1
PHI,203457,Noel,Foul,2,494.0,21500005,176,2,15.0,BOS,1
PHI,203457,Noel,Lost Ball,2,271.0,21500005,217,2,11.0,BOS,0
BOS,203935,Smart,Bad Pass,2,163.0,21500005,239,0,18.5,PHI,0
BOS,203109,Crowder,Bad Pass,2,122.0,21500005,257,2,14.0,PHI,0
BOS,202738,Thomas,Lost Ball,2,48.9,21500005,270,2,14.299999999999995,PHI,0
PHI,204456,McConnell,Out of Bounds Lost Ball Turnover,2,2.9,21500005,283,3,21.2,BOS,1
PHI,203960,Sampson,Lost Ball,3,642.0,21500005,311,2,20.0,BOS,0
BOS,203109,Crowder,Foul,3,603.0,21500005,317,0,17.0,PHI,1
PHI,203457,Noel,Foul,3,583.0,21500005,319,2,14.0,BOS,1
BOS,101135,Lee,Out of Bounds Lost Ball Turnover,3,519.0,21500005,325,3,14.5,PHI,1
PHI,1626143,Okafor,Out of Bounds - Bad Pass Turnover,3,475.0,21500005,333,2,14.0,BOS,1
PHI,203138,Thompson,Traveling,3,451.0,21500005,336,0,13.5,BOS,1
PHI,1626143,Okafor,Lost Ball,3,431.0,21500005,339,2,13.0,BOS,0
PHI,1610612755,,Shot Clock Turnover,3,400.0,21500005,346,0,0.0,BOS,1
PHI,204456,McConnell,Foul,3,223.0,21500005,379,0,18.0,BOS,1
BOS,202340,Bradley,Bad Pass,3,212.0,21500005,385,3,13.0,PHI,0
BOS,202738,Thomas,Bad Pass,3,119.0,21500005,398,0,13.5,PHI,0
PHI,203960,Sampson,Bad Pass,3,114.0,21500005,399,2,19.0,BOS,0
PHI,1626143,Okafor,Poss Lost Ball Turnover,3,31.0,21500005,424,2,14.1,BOS,1
BOS,202323,Turner,Jump Ball Violation,4,706.0,21500005,430,0,10.0,PHI,1
PHI,1626143,Okafor,3 Second Violation,4,689.0,21500005,434,0,7.0,BOS,1
BOS,202323,Turner,Bad Pass,4,480.0,21500005,468,1,21.5,PHI,0
BOS,202738,Thomas,Bad Pass,4,466.0,21500005,475,0,14.0,PHI,0
PHI,203477,Canaan,Out of Bounds Lost Ball Turnover,4,429.0,21500005,479,0,12.5,BOS,1
BOS,101135,Lee,Out of Bounds - Bad Pass Turnover,4,334.0,21500005,503,0,14.0,PHI,1
PHI,204456,McConnell,Bad Pass,4,327.0,21500005,505,2,17.0,BOS,0
PHI,1626143,Okafor,Out of Bounds - Bad Pass Turnover,4,250.0,21500005,523,2,6.5,BOS,1
BOS,101161,Johnson,Lost Ball,4,138.0,21500005,548,2,12.0,PHI,0
BOS,202340,Bradley,Out of Bounds Lost Ball Turnover,4,118.0,21500005,550,0,14.5,PHI,1
BKN,201152,Young,Traveling,1,707.0,21500006,2,0,11.0,CHI,1
BKN,201152,Young,Bad Pass,1,599.0,21500006,15,3,19.0,CHI,0
CHI,201565,Rose,Bad Pass,1,561.0,21500006,20,2,7.0,BKN,0
BKN,201572,Lopez,Lost Ball,1,294.0,21500006,56,0,10.0,CHI,0
CHI,201149,Noah,Out of Bounds - Bad Pass Turnover,1,284.0,21500006,58,0,14.0,BKN,1
BKN,200745,Bargnani,Lost Ball,1,206.0,21500006,71,0,17.0,CHI,0
CHI,203926,McDermott,Bad Pass,1,189.0,21500006,74,0,7.0,BKN,0
CHI,202710,Butler III,Bad Pass,1,113.0,21500006,90,2,10.0,BKN,0
CHI,203926,McDermott,Lost Ball,1,87.0,21500006,92,0,14.5,BKN,0
BKN,202711,Bogdanović,Out of Bounds Lost Ball Turnover,1,3.1,21500006,113,0,17.7,CHI,1
BKN,1626178,Hollis-Jefferson,Step Out of Bounds Turnover,2,686.0,21500006,120,2,17.5,CHI,1
CHI,203926,McDermott,Bad Pass,2,614.0,21500006,128,2,13.5,BKN,0
CHI,2200,Gasol,Foul,2,530.0,21500006,140,0,14.0,BKN,1
CHI,201959,Gibson,Lost Ball,2,404.0,21500006,160,2,11.0,BKN,0
CHI,201565,Rose,Lost Ball,2,381.0,21500006,163,1,9.5,BKN,0
CHI,2200,Gasol,Out of Bounds - Bad Pass Turnover,2,228.0,21500006,192,2,12.5,BKN,1
CHI,202703,Mirotic,Out of Bounds - Bad Pass Turnover,2,172.0,21500006,201,0,9.5,BKN,1
