team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
BKN,201599,Jordan,Out of Bounds - Bad Pass Turnover,1,710.0,22000001,7,2,14.0,GSW,1
GSW,1626162,Oubre Jr.,Offensive Foul Turnover,1,477.0,22000001,56,0,16.5,BKN,1
BKN,203925,Harris,Out of Bounds - Bad Pass Turnover,1,360.0,22000001,83,0,13.0,GSW,1
BKN,201142,Durant,Lost Ball,1,222.0,22000001,115,2,16.5,GSW,0
GSW,1626162,Oubre Jr.,Bad Pass,1,167.0,22000001,132,3,20.0,BKN,0
GSW,1626172,Looney,Bad Pass,1,154.0,22000001,135,3,18.5,BKN,0
BKN,1627747,LeVert,Offensive Foul Turnover,1,123.0,22000001,147,0,17.0,GSW,1
BKN,1627747,LeVert,Lost Ball,1,2.2,22000001,166,0,3.0,GSW,0
GSW,203952,Wiggins,Bad Pass,2,645.0,22000001,188,2,21.0,BKN,0
BKN,1629013,Shamet,Out of Bounds Lost Ball Turnover,2,583.0,22000001,202,0,16.5,GSW,1
GSW,203952,Wiggins,Traveling,2,574.0,22000001,203,0,15.0,BKN,1
GSW,202954,Wanamaker,Bad Pass,2,493.0,22000001,221,0,14.5,BKN,0
BKN,203915,Dinwiddie,Bad Pass,2,436.0,22000001,242,0,19.0,GSW,0
BKN,201599,Jordan,Offensive Foul Turnover,2,409.0,22000001,248,0,21.0,GSW,1
BKN,201599,Jordan,Lost Ball,2,382.0,22000001,308,0,10.0,GSW,0
GSW,1630164,Wiseman,Offensive Foul Turnover,2,379.0,22000001,262,0,21.0,BKN,1
BKN,203915,Dinwiddie,Out of Bounds - Bad Pass Turnover,2,257.0,22000001,292,0,20.0,GSW,1
BKN,202681,Irving,Out of Bounds Lost Ball Turnover,2,214.0,22000001,298,0,20.5,GSW,1
BKN,203925,Harris,Offensive Foul Turnover,2,140.0,22000001,326,0,17.5,GSW,1
GSW,201939,Curry,Bad Pass,2,128.0,22000001,329,0,12.0,BKN,0
GSW,203952,Wiggins,Step Out of Bounds Turnover,2,92.0,22000001,342,0,16.0,BKN,1
BKN,201145,Green,Offensive Foul Turnover,2,81.0,22000001,346,0,14.0,GSW,1
BKN,203915,Dinwiddie,Bad Pass,3,616.0,22000001,392,2,8.5,GSW,0
GSW,203952,Wiggins,Traveling,3,589.0,22000001,403,2,15.5,BKN,1
GSW,1626162,Oubre Jr.,Bad Pass,3,513.0,22000001,420,2,19.0,BKN,0
GSW,1626172,Looney,Lost Ball,3,454.0,22000001,442,3,10.0,BKN,0
GSW,201939,Curry,Bad Pass,3,265.0,22000001,492,1,13.5,BKN,0
GSW,203145,Bazemore,Bad Pass,3,229.0,22000001,505,0,15.0,BKN,0
BKN,1629013,Shamet,Offensive Foul Turnover,3,174.0,22000001,524,2,20.0,GSW,1
BKN,1628386,Allen,Lost Ball,3,140.0,22000001,566,2,7.5,GSW,0
BKN,1628386,Allen,Out of Bounds Lost Ball Turnover,3,117.0,22000001,533,3,12.5,GSW,1
GSW,203145,Bazemore,Bad Pass,3,73.0,22000001,541,3,18.0,BKN,0
GSW,201939,Curry,Out of Bounds Lost Ball Turnover,3,56.3,22000001,545,1,15.799999999999995,BKN,1
GSW,1629673,Poole,Out of Bounds - Bad Pass Turnover,4,359.0,22000001,659,0,16.5,BKN,1
BKN,1627789,Luwawu-Cabarrot,Offensive Foul Turnover,4,293.0,22000001,672,0,14.5,GSW,1
GSW,1629673,Poole,Lost Ball,4,260.0,22000001,680,2,18.0,BKN,0
BKN,1628971,Brown,Out of Bounds - Bad Pass Turnover,4,227.0,22000001,685,2,11.5,GSW,1
BKN,1628971,Brown,Out of Bounds - Bad Pass Turnover,4,30.2,22000001,723,3,18.8,GSW,1
LAC,202331,George,Bad Pass,1,620.0,22000002,19,0,11.0,LAL,0
LAL,2544,James,Bad Pass,1,614.0,22000002,21,0,18.0,LAC,0
LAL,2544,James,Bad Pass,1,464.0,22000002,49,0,13.5,LAC,0
LAL,203076,Davis,Out of Bounds Lost Ball Turnover,1,396.0,22000002,69,0,20.0,LAC,1
LAC,1627826,Zubac,Bad Pass,1,283.0,22000002,103,0,21.5,LAL,0
LAL,203076,Davis,Bad Pass,1,264.0,22000002,114,3,15.0,LAC,0
LAL,203076,Davis,Lost Ball,1,122.0,22000002,138,2,15.5,LAC,0
LAL,1626149,Harrell,Bad Pass,1,92.0,22000002,144,0,13.0,LAC,0
LAC,202331,George,Out of Bounds - Bad Pass Turnover,1,91.0,22000002,146,2,23.0,LAL,1
LAC,1628379,Kennard,Step Out of Bounds Turnover,1,49.3,22000002,152,0,4.799999999999997,LAL,1
LAC,101150,Williams,Out of Bounds - Bad Pass Turnover,1,5.7,22000002,155,0,0.3999999999999986,LAL,1
LAL,1628398,Kuzma,Lost Ball,2,676.0,22000002,237,2,20.0,LAC,0
LAL,1628398,Kuzma,Offensive Foul Turnover,2,658.0,22000002,184,0,14.0,LAC,1
LAC,201976,Beverley,Offensive Foul Turnover,2,595.0,22000002,208,3,21.0,LAL,1
LAL,1627936,Caruso,Bad Pass,2,479.0,22000002,223,0,6.0,LAC,0
LAC,202331,George,Bad Pass,2,457.0,22000002,239,2,12.0,LAL,0
LAC,202695,Leonard,Offensive Foul Turnover,2,410.0,22000002,249,0,15.0,LAL,1
LAL,1629659,Horton-Tucker,Offensive Foul Turnover,2,402.0,22000002,254,0,16.0,LAC,1
LAC,201586,Ibaka,Offensive Foul Turnover,2,388.0,22000002,258,2,14.0,LAL,1
LAC,201976,Beverley,Offensive Foul Turnover,2,313.0,22000002,284,2,14.0,LAL,1
LAC,202335,Patterson,Traveling,2,113.0,22000002,340,2,7.0,LAL,1
LAC,202695,Leonard,Traveling,2,36.8,22000002,359,0,8.199999999999996,LAL,1
LAL,203076,Davis,Out of Bounds - Bad Pass Turnover,2,14.6,22000002,365,0,20.799999999999997,LAC,1
LAC,202331,George,Out of Bounds Lost Ball Turnover,3,580.0,22000002,399,0,15.5,LAL,1
LAL,201188,Gasol,Offensive Foul Turnover,3,427.0,22000002,430,0,14.0,LAC,1
LAC,202331,George,Offensive Foul Turnover,3,415.0,22000002,435,0,14.0,LAL,1
LAL,203471,Schröder,Lost Ball,3,117.0,22000002,519,2,13.5,LAC,0
LAL,2544,James,Bad Pass,3,4.0,22000002,539,0,6.300000000000001,LAC,0
LAL,2544,James,Step Out of Bounds Turnover,4,680.0,22000002,553,0,16.5,LAC,1
LAL,1627936,Caruso,Bad Pass,4,449.0,22000002,612,0,7.5,LAC,0
LAL,203484,Caldwell-Pope,Traveling,4,412.0,22000002,617,4,3.0,LAC,1
LAL,1627936,Caruso,Out of Bounds - Bad Pass Turnover,4,357.0,22000002,626,2,14.5,LAC,1
LAL,203484,Caldwell-Pope,Out of Bounds Lost Ball Turnover,4,189.0,22000002,674,0,14.0,LAC,1
LAC,202695,Leonard,Offensive Foul Turnover,4,181.0,22000002,677,2,16.0,LAL,1
LAC,201587,Batum,Lost Ball,4,83.0,22000002,695,1,1.0,LAL,0
MIL,203507,Antetokounmpo,Discontinue Dribble,1,652.0,22000003,15,2,16.5,BOS,1
BOS,1628369,Tatum,Bad Pass,1,591.0,22000003,25,2,20.0,MIL,0
MIL,1626192,Connaughton,Lost Ball,1,312.0,22000003,81,3,18.0,BOS,0
BOS,1610612738,,Shot Clock Turnover,1,122.0,22000003,124,0,0.0,MIL,1
MIL,203507,Antetokounmpo,Out of Bounds Lost Ball Turnover,1,55.4,22000003,146,3,12.9,BOS,1
MIL,1628391,Wilson,Bad Pass,1,2.0,22000003,154,0,23.9,BOS,0
BOS,1629684,Williams,Bad Pass,2,702.0,22000003,162,3,6.0,MIL,0
MIL,203507,Antetokounmpo,Lost Ball,2,649.0,22000003,175,0,18.0,BOS,0
MIL,1628978,DiVincenzo,Bad Pass,2,537.0,22000003,195,0,12.5,BOS,0
BOS,203935,Smart,Lost Ball,2,420.0,22000003,231,0,9.0,MIL,0
MIL,203114,Middleton,Step Out of Bounds Turnover,2,304.0,22000003,264,1,12.5,BOS,1
MIL,203507,Antetokounmpo,Offensive Foul Turnover,2,264.0,22000003,274,3,14.0,BOS,1
MIL,201950,Holiday,Lost Ball,2,102.0,22000003,301,2,6.5,BOS,0
MIL,203507,Antetokounmpo,Offensive Foul Turnover,3,619.0,22000003,362,0,16.0,BOS,1
MIL,203114,Middleton,Lost Ball,3,455.0,22000003,385,0,10.5,BOS,0
MIL,203507,Antetokounmpo,Offensive Foul Turnover,3,442.0,22000003,391,0,19.0,BOS,1
MIL,201950,Holiday,Discontinue Dribble,3,419.0,22000003,396,0,19.0,BOS,1
BOS,1628369,Tatum,Offensive Foul Turnover,3,408.0,22000003,407,0,14.0,MIL,1
MIL,1626171,Portis,Lost Ball,3,280.0,22000003,438,0,12.5,BOS,0
MIL,201950,Holiday,Bad Pass,3,70.0,22000003,488,3,10.0,BOS,0
BOS,1629057,Williams III,Offensive Foul Turnover,4,598.0,22000003,530,3,14.5,MIL,1
BOS,203935,Smart,Lost Ball,4,456.0,22000003,577,0,7.5,MIL,0
MIL,203507,Antetokounmpo,Offensive Foul Turnover,4,452.0,22000003,581,0,20.0,BOS,1
PHX,1629028,Ayton,Offensive Foul Turnover,1,630.0,22000004,29,0,14.0,DAL,1
PHX,1629028,Ayton,Offensive Foul Turnover,1,497.0,22000004,58,2,14.0,DAL,1
PHX,1626164,Booker,Out of Bounds Lost Ball Turnover,1,413.0,22000004,77,0,14.0,DAL,1
PHX,1627745,Jones,Offensive Goaltending,1,379.0,22000004,85,0,5.0,DAL,1
DAL,1626196,Richardson,Bad Pass,1,333.0,22000004,97,0,19.0,PHX,0
PHX,1626164,Booker,Lost Ball,1,302.0,22000004,109,0,13.0,DAL,0
DAL,203939,Powell,Offensive Foul Turnover,1,225.0,22000004,121,0,14.0,PHX,1
PHX,101108,Paul,Bad Pass,1,73.0,22000004,161,0,7.5,DAL,0
PHX,1630188,Smith,Offensive Foul Turnover,1,29.4,22000004,179,3,21.5,DAL,1
DAL,1628973,Brunson,Bad Pass,2,698.0,22000004,186,0,2.0,PHX,0
PHX,1626166,Payne,Out of Bounds - Bad Pass Turnover,2,619.0,22000004,214,0,18.0,DAL,1
DAL,201949,Johnson,Offensive Foul Turnover,2,516.0,22000004,237,2,18.5,PHX,1
PHX,1628975,Carter,Out of Bounds - Bad Pass Turnover,2,442.0,22000004,250,0,20.0,DAL,1
DAL,1628973,Brunson,Bad Pass,2,425.0,22000004,255,0,7.0,PHX,0
PHX,203109,Crowder,Traveling,2,393.0,22000004,269,0,19.0,DAL,1
PHX,1626164,Booker,Bad Pass,2,356.0,22000004,276,0,5.5,DAL,0
DAL,203939,Powell,Offensive Foul Turnover,2,212.0,22000004,305,3,20.0,PHX,1
PHX,101108,Paul,Lost Ball,2,136.0,22000004,317,2,9.5,DAL,0
PHX,1626164,Booker,Out of Bounds - Bad Pass Turnover,2,5.1,22000004,349,0,1.5,DAL,1
DAL,1610612742,,Shot Clock Turnover,3,695.0,22000004,362,0,0.0,PHX,1
PHX,101108,Paul,Out of Bounds - Bad Pass Turnover,3,678.0,22000004,364,0,7.0,DAL,1
PHX,1626164,Booker,Lost Ball,3,593.0,22000004,374,0,14.5,DAL,0
PHX,1626164,Booker,Traveling,3,426.0,22000004,407,0,11.5,DAL,1
DAL,1629029,Dončić,Bad Pass,3,412.0,22000004,408,0,10.0,PHX,0
DAL,1628467,Kleber,Out of Bounds Lost Ball Turnover,3,124.0,22000004,478,0,6.5,PHX,1
DAL,1628973,Brunson,Bad Pass,4,685.0,22000004,517,3,11.0,PHX,0
DAL,203504,Burke,Bad Pass,4,663.0,22000004,526,2,6.0,PHX,0
PHX,1610612756,,Shot Clock Turnover,4,562.0,22000004,539,0,0.0,DAL,1
PHX,1626164,Booker,Traveling,4,396.0,22000004,583,0,12.0,DAL,1
PHX,1626164,Booker,Lost Ball,4,319.0,22000004,595,0,16.5,DAL,0
DAL,1626196,Richardson,Bad Pass,4,183.0,22000004,624,2,5.0,PHX,0
MIA,1628389,Adebayo,Out of Bounds - Bad Pass Turnover,1,607.0,22000005,19,0,13.5,NOP,1
MIA,203086,Leonard,Out of Bounds - Bad Pass Turnover,1,580.0,22000005,22,2,12.0,NOP,1
NOP,1627742,Ingram,Out of Bounds Lost Ball Turnover,1,542.0,22000005,27,0,12.5,MIA,1
MIA,1629639,Herro,Traveling,1,415.0,22000005,52,0,21.0,NOP,1
MIA,202710,Butler III,Bad Pass,1,376.0,22000005,60,2,12.0,NOP,0
NOP,1627742,Ingram,Out of Bounds - Bad Pass Turnover,1,332.0,22000005,66,2,10.5,MIA,1
NOP,203500,Adams,Lost Ball,1,159.0,22000005,114,2,5.0,MIA,0
MIA,1630173,Achiuwa,Lost Ball,1,113.0,22000005,120,0,10.0,NOP,0
NOP,1629627,Williamson,Traveling,1,109.0,22000005,122,3,20.0,MIA,1
MIA,1628389,Adebayo,Traveling,1,44.9,22000005,142,0,13.699999999999996,NOP,1
NOP,1629637,Hayes,Bad Pass,2,668.0,22000005,158,2,8.5,MIA,0
NOP,202339,Bledsoe,Bad Pass,2,609.0,22000005,171,2,1.5,MIA,0
NOP,1629627,Williamson,Out of Bounds Lost Ball Turnover,2,469.0,22000005,202,3,10.0,MIA,1
NOP,200755,Redick,Offensive Foul Turnover,2,406.0,22000005,215,0,18.5,MIA,1
NOP,1628366,Ball,Bad Pass,2,375.0,22000005,224,0,13.0,MIA,0
MIA,2738,Iguodala,Traveling,2,142.0,22000005,284,0,17.0,NOP,1
NOP,203500,Adams,Bad Pass,2,130.0,22000005,285,0,12.0,MIA,0
MIA,1629639,Herro,Bad Pass,3,539.0,22000005,351,0,12.0,NOP,0
NOP,1627742,Ingram,Lost Ball,3,220.0,22000005,436,0,16.0,MIA,0
MIA,202340,Bradley,Lost Ball,3,209.0,22000005,438,0,13.0,NOP,0
MIA,201609,Dragic,Lost Ball,3,190.0,22000005,443,2,10.0,NOP,0
MIA,1629130,Robinson,Offensive Foul Turnover,3,168.0,22000005,450,2,14.0,NOP,1
NOP,1628366,Ball,Offensive Foul Turnover,3,105.0,22000005,462,2,14.0,MIA,1
NOP,202339,Bledsoe,Bad Pass,3,81.0,22000005,472,0,12.0,MIA,0
MIA,201609,Dragic,Lost Ball,3,71.0,22000005,474,3,14.0,NOP,0
MIA,1628389,Adebayo,Bad Pass,4,697.0,22000005,501,0,1.0,NOP,0
MIA,201609,Dragic,Out of Bounds - Bad Pass Turnover,4,636.0,22000005,510,0,13.5,NOP,1
NOP,202339,Bledsoe,Bad Pass,4,626.0,22000005,511,0,14.0,MIA,0
NOP,202339,Bledsoe,Out of Bounds - Bad Pass Turnover,4,607.0,22000005,521,0,20.0,MIA,1
MIA,202340,Bradley,Offensive Foul Turnover,4,598.0,22000005,524,0,15.0,NOP,1
NOP,202339,Bledsoe,Lost Ball,4,486.0,22000005,545,0,8.0,MIA,0
MIA,1629639,Herro,Step Out of Bounds Turnover,4,302.0,22000005,597,0,20.0,NOP,1
NOP,1627742,Ingram,Bad Pass,4,280.0,22000005,600,2,2.0,MIA,0
NOP,1629627,Williamson,Out of Bounds Lost Ball Turnover,4,235.0,22000005,613,0,8.0,MIA,1
MIA,2738,Iguodala,Bad Pass,4,101.0,22000005,645,0,6.0,NOP,0
NOP,1628366,Ball,Bad Pass,4,98.0,22000005,647,0,21.0,MIA,0
GSW,1629672,Paschall,Traveling,1,660.0,22000006,18,0,22.0,MIL,1
MIL,1626171,Portis,Traveling,1,426.0,22000006,84,3,9.0,GSW,1
MIL,201950,Holiday,Bad Pass,1,356.0,22000006,106,0,7.0,GSW,0
GSW,1626162,Oubre Jr.,Offensive Foul Turnover,1,352.0,22000006,110,0,20.0,MIL,1
MIL,203114,Middleton,Traveling,1,347.0,22000006,111,0,19.0,GSW,1
MIL,201950,Holiday,Bad Pass,1,223.0,22000006,142,3,10.0,GSW,0
GSW,1627737,Chriss,Offensive Foul Turnover,1,172.0,22000006,158,0,20.0,MIL,1
MIL,203507,Antetokounmpo,Traveling,2,644.0,22000006,219,2,18.5,GSW,1
MIL,1628978,DiVincenzo,Offensive Foul Turnover,2,496.0,22000006,260,0,20.0,GSW,1
MIL,1610612749,,Shot Clock Turnover,2,295.0,22000006,354,3,0.0,GSW,1
GSW,1630164,Wiseman,Offensive Foul Turnover,3,663.0,22000006,410,0,17.5,MIL,1
MIL,201572,Lopez,Out of Bounds Lost Ball Turnover,3,647.0,22000006,411,2,8.0,GSW,1
MIL,203114,Middleton,Out of Bounds Lost Ball Turnover,3,622.0,22000006,414,2,7.5,GSW,1
MIL,201572,Lopez,Out of Bounds - Bad Pass Turnover,3,542.0,22000006,432,2,13.0,GSW,1
GSW,201939,Curry,Bad Pass,3,471.0,22000006,442,2,10.5,MIL,0
GSW,203952,Wiggins,Lost Ball,3,449.0,22000006,448,0,4.0,MIL,0
MIL,1628978,DiVincenzo,Lost Ball,3,442.0,22000006,450,0,17.0,GSW,0
MIL,203507,Antetokounmpo,Bad Pass,3,365.0,22000006,474,0,5.0,GSW,0
GSW,1626162,Oubre Jr.,Lost Ball,3,339.0,22000006,480,3,15.0,MIL,0
GSW,201939,Curry,Bad Pass,3,189.0,22000006,515,0,18.5,MIL,0
MIL,201950,Holiday,Out of Bounds - Bad Pass Turnover,3,149.0,22000006,525,0,18.0,GSW,1
MIL,203648,Antetokounmpo,Bad Pass,4,456.0,22000006,626,2,15.5,GSW,0
GSW,1627737,Chriss,Bad Pass,4,405.0,22000006,638,2,19.0,MIL,0
GSW,1630164,Wiseman,Bad Pass,4,379.0,22000006,644,3,13.0,MIL,0
MIL,1630241,Merrill,Palming Turnover,4,268.0,22000006,682,0,16.5,GSW,1
MIL,1628470,Craig,Offensive Foul Turnover,4,121.0,22000006,701,0,21.0,GSW,1
MIL,1628391,Wilson,Offensive Foul Turnover,4,90.0,22000006,709,1,14.0,GSW,1
MIL,1629670,Nwora,Out of Bounds - Bad Pass Turnover,4,58.3,22000006,713,0,12.299999999999995,GSW,1
GSW,1627814,Lee,Out of Bounds - Bad Pass Turnover,4,39.6,22000006,714,0,5.300000000000004,MIL,1
BKN,201599,Jordan,Offensive Foul Turnover,1,382.0,22000007,71,0,18.0,BOS,1
BOS,1627759,Brown,Traveling,1,357.0,22000007,76,2,14.0,BKN,1
BOS,201952,Teague,Bad Pass,1,295.0,22000007,89,0,3.0,BKN,0
BOS,203935,Smart,Out of Bounds Lost Ball Turnover,1,242.0,22000007,109,0,15.5,BKN,1
BOS,1627759,Brown,Offensive Foul Turnover,1,213.0,22000007,119,0,17.0,BKN,1
BKN,1627747,LeVert,Step Out of Bounds Turnover,1,178.0,22000007,129,3,19.0,BOS,1
BOS,202684,Thompson,Offensive Foul Turnover,1,72.0,22000007,158,0,14.0,BKN,1
BKN,1627747,LeVert,Traveling,2,692.0,22000007,195,2,18.0,BOS,1
BKN,1628386,Allen,Out of Bounds - Bad Pass Turnover,2,667.0,22000007,198,2,11.5,BOS,1
BKN,1627747,LeVert,Out of Bounds Lost Ball Turnover,2,588.0,22000007,218,2,21.0,BOS,1
BKN,1627747,LeVert,Lost Ball,2,562.0,22000007,224,2,17.5,BOS,0
BKN,1627747,LeVert,Traveling,2,504.0,22000007,238,2,9.5,BOS,1
BKN,203915,Dinwiddie,Bad Pass,2,463.0,22000007,244,0,9.5,BOS,0
BKN,203915,Dinwiddie,Offensive Foul Turnover,2,420.0,22000007,267,0,14.0,BOS,1
BKN,202681,Irving,Lost Ball,2,347.0,22000007,276,0,9.5,BOS,0
BOS,1630202,Pritchard,Lost Ball,2,305.0,22000007,283,0,2.5,BKN,0
BOS,1628464,Theis,Offensive Foul Turnover,2,267.0,22000007,302,0,18.0,BKN,1
BOS,1628369,Tatum,Bad Pass,2,181.0,22000007,354,0,12.5,BKN,0
BKN,201142,Durant,Bad Pass,2,180.0,22000007,359,0,23.0,BOS,0
BOS,1628369,Tatum,Lost Ball,2,116.0,22000007,335,2,20.0,BKN,0
BOS,201952,Teague,Bad Pass,2,12.6,22000007,365,0,2.8999999999999986,BKN,0
BKN,201142,Durant,Lost Ball,2,8.1,22000007,367,0,19.5,BOS,0
BOS,1628369,Tatum,Out of Bounds - Bad Pass Turnover,3,615.0,22000007,400,2,11.0,BKN,1
BKN,1629013,Shamet,Step Out of Bounds Turnover,3,282.0,22000007,470,0,7.5,BOS,1
BOS,1630202,Pritchard,Step Out of Bounds Turnover,4,632.0,22000007,556,2,10.5,BKN,1
BKN,1627747,LeVert,Bad Pass,4,557.0,22000007,571,2,10.0,BOS,0
BKN,1627747,LeVert,Traveling,4,444.0,22000007,597,0,17.5,BOS,1
BOS,1630202,Pritchard,Step Out of Bounds Turnover,4,315.0,22000007,635,2,10.5,BKN,1
BOS,1630174,Nesmith,Out of Bounds - Bad Pass Turnover,4,101.0,22000007,697,0,9.0,BKN,1
BOS,1629682,Waters,Out of Bounds - Bad Pass Turnover,4,87.0,22000007,700,2,19.0,BKN,1
BKN,1610612751,,Shot Clock Turnover,4,6.0,22000007,716,0,0.0,BOS,1
LAL,203471,Schröder,Bad Pass,1,505.0,22000008,34,0,18.0,DAL,0
DAL,203939,Powell,Bad Pass,1,457.0,22000008,42,3,8.5,LAL,0
LAL,203076,Davis,Bad Pass,1,216.0,22000008,99,0,5.5,DAL,0
DAL,1629029,Dončić,Bad Pass,1,71.0,22000008,125,2,12.0,LAL,0
LAL,2544,James,Lost Ball,2,675.0,22000008,153,0,7.0,DAL,0
DAL,1628973,Brunson,Bad Pass,2,583.0,22000008,170,0,12.5,LAL,0
LAL,1626149,Harrell,Offensive Foul Turnover,2,540.0,22000008,188,0,14.0,DAL,1
DAL,1626161,Cauley-Stein,Bad Pass,2,526.0,22000008,193,0,10.0,LAL,0
LAL,1627936,Caruso,Bad Pass,2,515.0,22000008,199,2,13.0,DAL,0
DAL,1627827,Finney-Smith,Bad Pass,2,455.0,22000008,213,0,14.5,LAL,0
LAL,1627936,Caruso,Bad Pass,2,452.0,22000008,215,3,21.0,DAL,0
LAL,1626149,Harrell,Lost Ball,2,406.0,22000008,228,0,13.0,DAL,0
DAL,1628973,Brunson,Lost Ball,2,375.0,22000008,235,0,15.0,LAL,0
LAL,1629659,Horton-Tucker,Bad Pass,2,278.0,22000008,262,2,9.0,DAL,0
LAL,203471,Schröder,Bad Pass,2,262.0,22000008,271,1,14.0,DAL,0
LAL,201188,Gasol,Bad Pass,2,249.0,22000008,279,0,13.0,DAL,0
LAL,203471,Schröder,Bad Pass,2,84.0,22000008,322,0,14.0,DAL,0
LAL,2544,James,Lost Ball,3,535.0,22000008,378,0,13.5,DAL,0
DAL,1629029,Dončić,Bad Pass,3,391.0,22000008,403,0,14.0,LAL,0
DAL,1629029,Dončić,Bad Pass,3,338.0,22000008,506,0,22.0,LAL,0
LAL,203076,Davis,Bad Pass,3,336.0,22000008,510,2,22.0,DAL,0
LAL,203471,Schröder,Bad Pass,3,217.0,22000008,454,0,13.5,DAL,0
LAL,2544,James,Traveling,3,97.0,22000008,495,0,20.0,DAL,1
DAL,1628973,Brunson,Bad Pass,4,669.0,22000008,531,3,20.5,LAL,0
LAL,2544,James,Out of Bounds - Bad Pass Turnover,4,612.0,22000008,541,2,19.0,DAL,1
LAL,1610612747,,Shot Clock Turnover,4,3.3,22000008,684,2,0.0,DAL,1
DEN,203999,Jokić,Out of Bounds - Bad Pass Turnover,1,702.0,22000009,7,0,6.0,LAC,1
LAC,202331,George,Bad Pass,1,646.0,22000009,18,0,10.0,DEN,0
DEN,1627750,Murray,Lost Ball,1,643.0,22000009,20,3,21.0,LAC,0
LAC,1610612746,,Shot Clock Turnover,1,591.0,22000009,28,0,0.0,DEN,1
DEN,203914,Harris,Bad Pass,1,573.0,22000009,29,3,6.0,LAC,0
LAC,201586,Ibaka,Lost Ball,1,536.0,22000009,37,2,15.5,DEN,0
LAC,201976,Beverley,Offensive Foul Turnover,1,524.0,22000009,44,0,16.5,DEN,1
