,team,year,non_fb_o_rating,non_fb_d_rating
0,CHI,1996,1.1040697674418605,0.9847126436781608
1,UTA,1996,1.0739999999999998,1.0004651162790696
2,SEA,1996,1.0639024390243903,0.9811627906976744
3,CHH,1996,1.0560919540229885,1.042758620689655
4,DET,1996,1.048139534883721,1.003932584269663
5,PHX,1996,1.0551724137931036,1.035813953488372
6,HOU,1996,1.0365116279069768,0.987764705882353
7,LAL,1996,1.026,0.987906976744186
8,ATL,1996,1.0282352941176471,0.9695402298850573
9,POR,1996,1.03,0.9923255813953488
10,GSW,1996,1.0220689655172412,1.0614285714285714
11,MIA,1996,1.0103488372093024,0.9476744186046511
12,WAS,1996,1.019767441860465,1.0061627906976742
13,MIL,1996,1.022325581395349,1.0250588235294116
14,IND,1996,1.0173563218390804,0.9953488372093022
15,ORL,1996,1.0023809523809524,1.008139534883721
16,MIN,1996,1.0076744186046511,1.0277647058823527
17,LAC,1996,1.0001176470588236,1.036
18,SAC,1996,1.0075862068965518,1.0355294117647058
19,DEN,1996,1.01,1.064
20,TOR,1996,0.9950588235294117,1.033953488372093
21,CLE,1996,0.9878571428571429,0.983953488372093
22,NYK,1996,1.0,0.9604761904761904
23,BOS,1996,0.9841176470588234,1.0722093023255816
24,NJN,1996,0.9976744186046511,1.04
25,PHI,1996,0.9923255813953488,1.0538823529411765
26,SAS,1996,0.9948837209302325,1.072093023255814
27,DAL,1996,0.9645348837209303,1.026
28,VAN,1996,0.9672093023255814,1.0758823529411765
0,LAL,1997,1.082,0.9874418604651161
1,UTA,1997,1.0603488372093022,1.0
2,SEA,1997,1.0635714285714284,0.9830232558139534
3,PHX,1997,1.028,0.9694117647058823
4,MIN,1997,1.0216279069767442,1.0173563218390804
5,IND,1997,1.0225581395348837,0.9715116279069766
6,ATL,1997,1.034186046511628,0.9823255813953488
7,CHI,1997,1.033529411764706,0.9499999999999998
8,HOU,1997,1.01,1.0299999999999998
9,MIA,1997,1.0405882352941178,0.9653488372093021
10,NJN,1997,1.026309523809524,1.0051724137931033
11,CHH,1997,1.023720930232558,1.006235294117647
12,WAS,1997,0.9977647058823529,0.9980459770114943
13,DET,1997,0.99,0.989767441860465
14,POR,1997,0.9941860465116279,0.9766666666666666
15,VAN,1997,1.0,1.06
16,MIL,1997,0.9776190476190474,0.9966666666666665
17,LAC,1997,0.9894252873563217,1.0658823529411765
18,SAS,1997,0.9943820224719101,0.947764705882353
19,NYK,1997,0.9751162790697675,0.9659999999999999
20,ORL,1997,0.9761176470588235,0.9959999999999999
21,BOS,1997,0.970609756097561,1.0044186046511627
22,PHI,1997,0.9732941176470588,0.9896428571428569
23,CLE,1997,0.9602380952380951,0.9437647058823528
24,TOR,1997,0.9635714285714284,1.0541176470588236
25,SAC,1997,0.9675862068965516,1.0205882352941176
26,DAL,1997,0.957674418604651,1.0201162790697673
27,DEN,1997,0.9455294117647058,1.0622093023255814
28,GSW,1997,0.9020689655172415,1.0
0,IND,1998,1.0577272727272728,0.99
1,LAL,1998,1.0420689655172415,0.991860465116279
2,UTA,1998,1.0015116279069767,0.9226190476190477
3,PHX,1998,1.01,0.9803488372093023
4,HOU,1998,1.0085057471264367,0.9665882352941176
5,POR,1998,0.994235294117647,0.9361176470588235
6,MIL,1998,1.0021428571428572,0.973720930232558
7,SEA,1998,1.0076744186046511,1.0103488372093024
8,MIA,1998,0.995632183908046,0.94
9,DET,1998,0.9899999999999999,0.9659999999999999
10,SAS,1998,0.9912941176470589,0.901860465116279
11,DEN,1998,1.002758620689655,1.056046511627907
12,SAC,1998,0.968139534883721,0.9899999999999999
13,DAL,1998,0.9701149425287356,1.0048275862068967
14,CHH,1998,0.9688235294117646,0.966470588235294
15,MIN,1998,0.9799999999999999,0.9773863636363636
16,TOR,1998,0.968139534883721,0.9819999999999999
17,WAS,1998,0.9681395348837208,0.9934883720930233
18,ORL,1998,0.9433333333333334,0.9359036144578312
19,BOS,1998,0.9619999999999999,0.9684705882352941
20,ATL,1998,0.9532558139534882,0.9262790697674419
21,LAC,1998,0.945232558139535,1.0567441860465117
22,CLE,1998,0.94,0.9699999999999999
23,PHI,1998,0.93,0.9179999999999999
24,NJN,1998,0.9419999999999998,1.0
25,NYK,1998,0.941764705882353,0.9305882352941176
26,VAN,1998,0.9337647058823529,1.0242857142857142
27,GSW,1998,0.9286046511627907,0.9576744186046512
28,CHI,1998,0.8899999999999999,0.9789411764705882
0,IND,1999,1.0427272727272727,0.9919318181818182
1,POR,1999,1.0385057471264367,0.9623255813953489
2,MIL,1999,1.039186046511628,1.0251724137931033
3,UTA,1999,1.0180459770114942,0.9737931034482759
4,LAL,1999,1.0313636363636363,0.9420689655172414
5,DET,1999,1.0227586206896553,1.0117241379310344
6,DAL,1999,1.0213793103448274,1.0224137931034483
7,SEA,1999,1.014137931034483,1.0089655172413794
8,MIN,1999,1.0201149425287357,0.9977272727272727
9,SAC,1999,1.01,0.9670588235294119
10,HOU,1999,0.9941379310344828,1.022
11,BOS,1999,0.9990476190476191,1.0138636363636364
12,SAS,1999,0.9986046511627907,0.9399999999999998
13,TOR,1999,1.0058139534883719,0.9981818181818183
14,PHX,1999,1.0103488372093024,0.9419999999999998
15,NJN,1999,0.9850588235294115,1.0168181818181818
16,MIA,1999,1.001264367816092,0.9617241379310344
17,CHH,1999,0.9909302325581395,0.96816091954023
18,DEN,1999,0.9919318181818182,1.0203488372093024
19,WAS,1999,0.99,1.0273563218390804
20,ORL,1999,0.965813953488372,0.9732941176470588
21,NYK,1999,0.9768181818181817,0.9603488372093023
22,VAN,1999,0.9723255813953487,1.0215116279069767
23,ATL,1999,0.9740449438202247,1.01816091954023
24,PHI,1999,0.9680952380952379,0.96
25,CLE,1999,0.9558139534883721,0.981860465116279
26,GSW,1999,0.9530232558139535,1.0434883720930233
27,LAC,1999,0.94,1.0442528735632184
28,CHI,1999,0.8953488372093023,0.9975
0,LAL,2000,1.0436363636363637,1.0095402298850575
1,MIL,2000,1.0384883720930234,0.987840909090909
2,UTA,2000,1.013953488372093,0.9812941176470588
3,DAL,2000,1.02816091954023,0.9780459770114942
4,HOU,2000,1.0122727272727272,0.9898863636363636
5,POR,2000,1.014186046511628,0.9711627906976742
6,SAS,2000,1.0129545454545454,0.93
7,SEA,2000,1.003720930232558,1.011860465116279
8,TOR,2000,1.0145454545454546,0.9904545454545454
9,SAC,2000,1.0027058823529411,0.9584883720930233
10,MIN,2000,1.013953488372093,0.9959090909090909
11,ORL,2000,0.9855813953488372,0.9767441860465116
12,DEN,2000,0.9968181818181818,1.0168181818181818
13,PHI,2000,0.9772093023255815,0.9430232558139534
14,BOS,2000,0.9777647058823528,0.9912643678160921
15,LAC,2000,0.9722727272727272,1.0001149425287357
16,IND,2000,0.9784090909090909,0.9840229885057472
17,NYK,2000,0.9613953488372093,0.9406896551724138
18,CHH,2000,0.9601162790697675,0.9417241379310344
19,MIA,2000,0.9593023255813953,0.9412643678160919
20,WAS,2000,0.9613793103448275,1.026046511627907
21,CLE,2000,0.9576744186046512,0.995813953488372
22,PHX,2000,0.955294117647059,0.926046511627907
23,DET,2000,0.9582758620689654,0.9751162790697675
24,NJN,2000,0.9553488372093022,1.0042528735632184
25,VAN,2000,0.9456321839080459,1.0088235294117647
26,ATL,2000,0.94,0.9823529411764705
27,GSW,2000,0.9212941176470589,1.0201162790697673
28,CHI,2000,0.9301176470588234,1.0225581395348837
0,DAL,2001,1.0738636363636365,1.0227272727272727
1,LAL,2001,1.0642528735632184,0.9645454545454546
2,SAC,2001,1.0367441860465116,0.9780459770114942
3,MIN,2001,1.046551724137931,1.0054545454545454
4,SEA,2001,1.04,1.0078160919540229
5,POR,2001,1.0141176470588236,0.983953488372093
6,ORL,2001,1.0116279069767442,1.014186046511628
7,MIL,2001,1.0324137931034483,1.022183908045977
8,SAS,2001,1.0157471264367814,0.9539534883720929
9,LAC,2001,1.0022727272727272,1.0173563218390804
10,UTA,2001,0.9916470588235294,0.9995238095238095
11,DET,2001,0.997674418604651,0.9684883720930232
12,CLE,2001,1.0060919540229885,1.032183908045977
13,CHH,2001,0.9951162790697675,0.9860919540229883
14,WAS,2001,0.9920689655172413,1.0120689655172415
15,IND,2001,0.993103448275862,0.9960919540229886
16,NJN,2001,0.9911764705882353,0.9666279069767443
17,BOS,2001,0.9954117647058824,0.9549425287356321
18,PHX,2001,0.9899999999999999,1.0044186046511627
19,HOU,2001,0.9839772727272726,1.044186046511628
20,GSW,2001,0.9756321839080458,1.037906976744186
21,TOR,2001,0.986,0.9847058823529412
22,DEN,2001,0.9783720930232556,1.0351162790697674
23,ATL,2001,0.9639534883720928,1.0051162790697674
24,NYK,2001,0.9760919540229884,1.0069411764705882
25,PHI,2001,0.9561176470588235,0.9458139534883722
26,MIA,2001,0.9385057471264368,0.9351162790697675
27,CHI,2001,0.939767441860465,1.0342352941176471
28,MEM,2001,0.9351724137931035,1.0185714285714287
0,DAL,2002,1.066279069767442,0.9824719101123595
1,MIL,2002,1.0406976744186045,1.0345454545454544
2,GSW,2002,1.0338636363636362,1.039186046511628
3,LAL,2002,1.04,1.004137931034483
4,MIN,2002,1.0184090909090908,0.9995402298850573
5,SAC,2002,1.0143023255813954,0.9462790697674419
6,POR,2002,1.0047058823529411,0.9755294117647058
7,UTA,2002,0.9919999999999999,0.978452380952381
8,ORL,2002,1.0076744186046511,1.0124137931034483
9,SAS,2002,1.0093023255813953,0.9449411764705882
10,NYK,2002,1.0039080459770116,1.0170114942528736
11,IND,2002,0.9941860465116279,0.9540229885057471
12,DET,2002,0.9948275862068965,0.9506896551724139
13,PHI,2002,0.9899999999999999,0.9634482758620689
14,PHX,2002,0.988139534883721,0.98
15,MEM,2002,0.9868965517241378,1.0340697674418604
16,SEA,2002,0.9803488372093023,0.9845454545454545
17,HOU,2002,0.9770114942528736,0.9799999999999999
18,NOH,2002,0.9874418604651163,0.9618604651162789
19,NJN,2002,0.9781176470588234,0.9459302325581395
20,WAS,2002,0.9822093023255815,0.9924137931034482
21,LAC,2002,0.9741379310344827,1.0240697674418606
22,ATL,2002,0.9741379310344827,1.002
23,BOS,2002,0.9658823529411764,0.9668965517241379
24,TOR,2002,0.97,1.0255172413793103
25,CHI,2002,0.9641379310344828,1.0041176470588236
26,CLE,2002,0.9120689655172415,1.0102380952380952
27,MIA,2002,0.9241860465116278,0.9787356321839079
28,DEN,2002,0.8714285714285713,0.9708333333333332
0,DAL,2003,1.0779545454545456,1.0279545454545456
1,SAC,2003,1.0541379310344827,1.0001149425287357
2,SEA,2003,1.0289655172413792,1.0318181818181817
3,MIL,2003,1.0257303370786517,1.0080459770114942
4,LAL,2003,1.0241379310344827,0.9680459770114942
5,MIN,2003,1.0213636363636365,0.9596629213483147
6,MEM,2003,0.9894117647058822,0.9760919540229884
7,IND,2003,0.9793023255813953,0.9219318181818182
8,DEN,2003,0.9891860465116278,0.997816091954023
9,POR,2003,0.9880459770114943,1.0051724137931033
10,LAC,2003,0.991590909090909,1.0291860465116278
11,ORL,2003,0.9774999999999998,1.06
12,GSW,2003,0.9880898876404494,1.0059302325581396
13,SAS,2003,0.9718390804597701,0.896551724137931
14,NOH,2003,0.9801149425287357,0.9722727272727272
15,BOS,2003,0.974,0.988139534883721
16,MIA,2003,0.9624137931034482,0.9657954545454545
17,CLE,2003,0.9668181818181818,1.0060919540229885
18,DET,2003,0.9712643678160919,0.907906976744186
19,PHX,2003,0.965813953488372,1.0065517241379311
20,UTA,2003,0.9654545454545453,0.9886046511627906
21,HOU,2003,0.9612359550561796,0.942
22,NYK,2003,0.98,0.9780459770114942
23,NJN,2003,0.9525581395348837,0.9324137931034482
24,ATL,2003,0.9663636363636364,0.998139534883721
25,PHI,2003,0.9503488372093024,0.9744186046511628
26,WAS,2003,0.9353488372093022,0.9925581395348836
27,TOR,2003,0.9239080459770116,0.9688636363636364
28,CHI,2003,0.9340229885057472,0.9858139534883721
0,PHX,2004,1.1061797752808988,1.0315909090909092
1,SEA,2004,1.0693181818181818,1.0448314606741573
2,MIA,2004,1.0707865168539326,0.9870454545454544
3,SAC,2004,1.053448275862069,1.0319318181818182
4,DAL,2004,1.0441379310344827,0.990561797752809
5,MIN,2004,1.0382222222222224,1.0152808988764044
6,LAL,2004,1.034,1.0619318181818183
7,SAS,2004,1.0341379310344827,0.9459770114942528
8,BOS,2004,1.025632183908046,1.0089655172413794
9,TOR,2004,1.0315909090909092,1.056629213483146
10,WAS,2004,1.0113793103448276,1.037840909090909
11,CLE,2004,1.013448275862069,1.0214606741573033
12,MIL,2004,1.023820224719101,1.0554545454545454
13,DEN,2004,1.0056321839080458,0.9893181818181818
14,NYK,2004,1.0213793103448274,1.0477272727272728
15,HOU,2004,1.0214606741573033,0.9780459770114942
